segment_id,meteo,fascia_oraria,risk
84,Sereno,Mattino,0.02
85,Sereno,Mattino,0.02
86,Sereno,Mattino,0.02
87,Sereno,Mattino,0.02
88,Sereno,Mattino,0.02
89,Sereno,Mattino,0.02
90,Sereno,Mattino,0.0467
91,Sereno,Mattino,0.0467
92,Sereno,Mattino,0.02
93,Sereno,Mattino,0.0533
94,Sereno,Mattino,0.02
95,Sereno,Mattino,0.02
96,Sereno,Mattino,0.0533
97,Sereno,Mattino,0.0533
98,Sereno,Mattino,0.3333
99,Sereno,Mattino,0.02
100,Sereno,Mattino,0.02
101,Sereno,Mattino,0.02
102,Sereno,Mattino,0.1867
103,Sereno,Mattino,0.1867
104,Sereno,Mattino,0.1867
105,Sereno,Mattino,0.1867
106,Sereno,Mattino,0.1867
107,Sereno,Mattino,0.1867
108,Sereno,Mattino,0.1867
109,Sereno,Mattino,0.1867
110,Sereno,Mattino,0.1867
111,Sereno,Mattino,0.1867
112,Sereno,Mattino,0.1867
113,Sereno,Mattino,0.1867
114,Sereno,Mattino,0.02
115,Sereno,Mattino,0.0533
116,Sereno,Mattino,0.02
117,Sereno,Mattino,0.02
118,Sereno,Mattino,0.02
119,Sereno,Mattino,0.02
120,Sereno,Mattino,0.02
121,Sereno,Mattino,0.02
122,Sereno,Mattino,0.0533
123,Sereno,Mattino,0.0533
124,Sereno,Mattino,0.02
125,Sereno,Mattino,0.2067
126,Sereno,Mattino,0.2067
127,Sereno,Mattino,0.2067
128,Sereno,Mattino,0.02
129,Sereno,Mattino,0.02
130,Sereno,Mattino,0.2067
131,Sereno,Mattino,0.2067
132,Sereno,Mattino,0.02
133,Sereno,Mattino,0.0467
134,Sereno,Mattino,0.0467
135,Sereno,Mattino,0.02
136,Sereno,Mattino,0.0933
137,Sereno,Mattino,0.0933
138,Sereno,Mattino,0.0933
139,Sereno,Mattino,0.04
140,Sereno,Mattino,0.04
141,Sereno,Mattino,0.04
142,Sereno,Mattino,0.0333
143,Sereno,Mattino,0.0333
144,Sereno,Mattino,0.0333
145,Sereno,Mattino,0.04
146,Sereno,Mattino,0.0933
147,Sereno,Mattino,0.0933
148,Sereno,Mattino,0.0933
149,Sereno,Mattino,0.0933
150,Sereno,Mattino,0.0933
151,Sereno,Mattino,0.04
152,Sereno,Mattino,0.04
153,Sereno,Mattino,0.04
154,Sereno,Mattino,0.04
155,Sereno,Mattino,0.04
156,Sereno,Mattino,0.04
157,Sereno,Mattino,0.04
158,Sereno,Mattino,0.04
159,Sereno,Mattino,0.04
160,Sereno,Mattino,0.04
161,Sereno,Mattino,0.04
162,Sereno,Mattino,0.04
163,Sereno,Mattino,0.04
164,Sereno,Mattino,0.04
165,Sereno,Mattino,0.04
166,Sereno,Mattino,0.04
167,Sereno,Mattino,0.04
168,Sereno,Mattino,0.04
169,Sereno,Mattino,0.04
170,Sereno,Mattino,0.04
171,Sereno,Mattino,0.2067
172,Sereno,Mattino,0.2067
173,Sereno,Mattino,0.2067
174,Sereno,Mattino,0.2067
175,Sereno,Mattino,0.2067
176,Sereno,Mattino,0.2067
177,Sereno,Mattino,0.0733
178,Sereno,Mattino,0.0733
179,Sereno,Mattino,0.0733
1,Sereno,Notte,0.0267
2,Sereno,Notte,0.0267
3,Sereno,Notte,0.0267
4,Sereno,Notte,0.0267
5,Sereno,Notte,0.0267
6,Sereno,Notte,0.0267
7,Sereno,Notte,0.0267
8,Sereno,Notte,0.0267
9,Sereno,Notte,0.0267
10,Sereno,Notte,0.0267
11,Sereno,Notte,0.0267
12,Sereno,Notte,0.0267
13,Sereno,Notte,0.0267
14,Sereno,Notte,0.0267
15,Sereno,Notte,0.0267
16,Sereno,Notte,0.0933
17,Sereno,Notte,0.0267
18,Sereno,Notte,0.0467
19,Sereno,Notte,0.0467
20,Sereno,Notte,0.0467
21,Sereno,Notte,0.0467
22,Sereno,Notte,0.0467
23,Sereno,Notte,0.0467
24,Sereno,Notte,0.0467
25,Sereno,Notte,0.0467
26,Sereno,Notte,0.0267
27,Sereno,Notte,0.0267
28,Sereno,Notte,0.0267
29,Sereno,Notte,0.0267
30,Sereno,Notte,0.0267
31,Sereno,Notte,0.0267
32,Sereno,Notte,0.0267
33,Sereno,Notte,0.0267
34,Sereno,Notte,0.1333
35,Sereno,Notte,0.1333
36,Sereno,Notte,0.1333
37,Sereno,Notte,0.1333
38,Sereno,Notte,0.1333
39,Sereno,Notte,0.1333
40,Sereno,Notte,0.1333
41,Sereno,Notte,0.1333
42,Sereno,Notte,0.1333
43,Sereno,Notte,0.0267
44,Sereno,Notte,0.0267
45,Sereno,Notte,0.0267
46,Sereno,Notte,0.0267
47,Sereno,Notte,0.0267
48,Sereno,Notte,0.1333
49,Sereno,Notte,0.0267
50,Sereno,Notte,0.0267
51,Sereno,Notte,0.0267
52,Sereno,Notte,0.0267
53,Sereno,Notte,0.0267
54,Sereno,Notte,0.0267
55,Sereno,Notte,0.0267
56,Sereno,Notte,0.0267
57,Sereno,Notte,0.0267
58,Sereno,Notte,0.0267
59,Sereno,Notte,0.0267
60,Sereno,Notte,0.0267
61,Sereno,Notte,0.0267
62,Sereno,Notte,0.0267
63,Sereno,Notte,0.0333
64,Sereno,Notte,0.0333
65,Sereno,Notte,0.0333
66,Sereno,Notte,0.0333
67,Sereno,Notte,0.0333
68,Sereno,Notte,0.0333
69,Sereno,Notte,0.0267
70,Sereno,Notte,0.0267
71,Sereno,Notte,0.0267
72,Sereno,Notte,0.0933
73,Sereno,Notte,0.0267
74,Sereno,Notte,0.0267
75,Sereno,Notte,0.0267
76,Sereno,Notte,0.0733
77,Sereno,Notte,0.0733
78,Sereno,Notte,0.0267
79,Sereno,Notte,0.0267
80,Sereno,Notte,0.0267
81,Sereno,Notte,0.0267
82,Sereno,Notte,0.0267
83,Sereno,Notte,0.0267
84,Sereno,Notte,0.0267
85,Sereno,Notte,0.0267
86,Sereno,Notte,0.0267
87,Sereno,Notte,0.0267
88,Sereno,Notte,0.0267
89,Sereno,Notte,0.0267
90,Sereno,Notte,0.0733
91,Sereno,Notte,0.0733
92,Sereno,Notte,0.0267
93,Sereno,Notte,0.0467
94,Sereno,Notte,0.0267
95,Sereno,Notte,0.0267
96,Sereno,Notte,0.0467
97,Sereno,Notte,0.0467
98,Sereno,Notte,0.3133
99,Sereno,Notte,0.0267
100,Sereno,Notte,0.0267
101,Sereno,Notte,0.0267
102,Sereno,Notte,0.1133
103,Sereno,Notte,0.1133
104,Sereno,Notte,0.1133
105,Sereno,Notte,0.1133
106,Sereno,Notte,0.1133
107,Sereno,Notte,0.1133
108,Sereno,Notte,0.1133
109,Sereno,Notte,0.1133
110,Sereno,Notte,0.1133
111,Sereno,Notte,0.1133
112,Sereno,Notte,0.1133
113,Sereno,Notte,0.1133
114,Sereno,Notte,0.0267
115,Sereno,Notte,0.0467
116,Sereno,Notte,0.0267
117,Sereno,Notte,0.0267
118,Sereno,Notte,0.0267
119,Sereno,Notte,0.0267
120,Sereno,Notte,0.0267
121,Sereno,Notte,0.0267
122,Sereno,Notte,0.0467
123,Sereno,Notte,0.0467
124,Sereno,Notte,0.0267
125,Sereno,Notte,0.18
126,Sereno,Notte,0.18
127,Sereno,Notte,0.18
128,Sereno,Notte,0.0267
129,Sereno,Notte,0.0267
130,Sereno,Notte,0.18
131,Sereno,Notte,0.18
132,Sereno,Notte,0.0267
133,Sereno,Notte,0.0733
134,Sereno,Notte,0.0733
135,Sereno,Notte,0.0267
136,Sereno,Notte,0.0733
137,Sereno,Notte,0.0733
138,Sereno,Notte,0.0733
139,Sereno,Notte,0.0533
140,Sereno,Notte,0.0533
141,Sereno,Notte,0.0533
142,Sereno,Notte,0.0267
143,Sereno,Notte,0.0267
144,Sereno,Notte,0.0267
145,Sereno,Notte,0.0933
146,Sereno,Notte,0.08
147,Sereno,Notte,0.08
148,Sereno,Notte,0.0733
149,Sereno,Notte,0.0733
150,Sereno,Notte,0.0733
151,Sereno,Notte,0.0467
152,Sereno,Notte,0.0467
153,Sereno,Notte,0.0467
154,Sereno,Notte,0.0467
155,Sereno,Notte,0.0467
156,Sereno,Notte,0.0467
157,Sereno,Notte,0.0467
158,Sereno,Notte,0.0467
159,Sereno,Notte,0.0467
160,Sereno,Notte,0.0467
161,Sereno,Notte,0.0467
162,Sereno,Notte,0.0467
163,Sereno,Notte,0.0467
164,Sereno,Notte,0.0467
165,Sereno,Notte,0.0467
166,Sereno,Notte,0.0467
167,Sereno,Notte,0.0467
168,Sereno,Notte,0.0467
169,Sereno,Notte,0.0467
170,Sereno,Notte,0.0467
171,Sereno,Notte,0.1333
172,Sereno,Notte,0.1333
173,Sereno,Notte,0.1333
174,Sereno,Notte,0.1333
175,Sereno,Notte,0.1333
176,Sereno,Notte,0.1333
177,Sereno,Notte,0.0667
178,Sereno,Notte,0.0667
179,Sereno,Notte,0.0667
1,Sereno,Pomeriggio,0.0067
2,Sereno,Pomeriggio,0.0067
3,Sereno,Pomeriggio,0.0067
4,Sereno,Pomeriggio,0.0067
5,Sereno,Pomeriggio,0.0067
6,Sereno,Pomeriggio,0.0067
7,Sereno,Pomeriggio,0.0067
8,Sereno,Pomeriggio,0.0067
9,Sereno,Pomeriggio,0.0067
10,Sereno,Pomeriggio,0.0067
11,Sereno,Pomeriggio,0.0067
12,Sereno,Pomeriggio,0.0067
13,Sereno,Pomeriggio,0.0067
14,Sereno,Pomeriggio,0.0067
15,Sereno,Pomeriggio,0.0067
16,Sereno,Pomeriggio,0.04
17,Sereno,Pomeriggio,0.0067
18,Sereno,Pomeriggio,0.0267
19,Sereno,Pomeriggio,0.0267
20,Sereno,Pomeriggio,0.0267
21,Sereno,Pomeriggio,0.0267
22,Sereno,Pomeriggio,0.0267
23,Sereno,Pomeriggio,0.0267
24,Sereno,Pomeriggio,0.0267
25,Sereno,Pomeriggio,0.0267
26,Sereno,Pomeriggio,0.0067
27,Sereno,Pomeriggio,0.0067
28,Sereno,Pomeriggio,0.0067
29,Sereno,Pomeriggio,0.0067
30,Sereno,Pomeriggio,0.0067
31,Sereno,Pomeriggio,0.0067
32,Sereno,Pomeriggio,0.0067
33,Sereno,Pomeriggio,0.0067
34,Sereno,Pomeriggio,0.14
35,Sereno,Pomeriggio,0.14
36,Sereno,Pomeriggio,0.14
37,Sereno,Pomeriggio,0.14
38,Sereno,Pomeriggio,0.14
39,Sereno,Pomeriggio,0.14
40,Sereno,Pomeriggio,0.14
41,Sereno,Pomeriggio,0.14
42,Sereno,Pomeriggio,0.14
43,Sereno,Pomeriggio,0.0067
44,Sereno,Pomeriggio,0.0067
45,Sereno,Pomeriggio,0.0067
46,Sereno,Pomeriggio,0.0067
47,Sereno,Pomeriggio,0.0067
48,Sereno,Pomeriggio,0.14
49,Sereno,Pomeriggio,0.0067
50,Sereno,Pomeriggio,0.0067
51,Sereno,Pomeriggio,0.0067
52,Sereno,Pomeriggio,0.0067
53,Sereno,Pomeriggio,0.0067
54,Sereno,Pomeriggio,0.0067
55,Sereno,Pomeriggio,0.0067
56,Sereno,Pomeriggio,0.0067
57,Sereno,Pomeriggio,0.0067
58,Sereno,Pomeriggio,0.0067
59,Sereno,Pomeriggio,0.0067
60,Sereno,Pomeriggio,0.0067
61,Sereno,Pomeriggio,0.0067
62,Sereno,Pomeriggio,0.0067
63,Sereno,Pomeriggio,0.0133
64,Sereno,Pomeriggio,0.0133
65,Sereno,Pomeriggio,0.0133
66,Sereno,Pomeriggio,0.0133
67,Sereno,Pomeriggio,0.0133
68,Sereno,Pomeriggio,0.0133
69,Sereno,Pomeriggio,0.0067
70,Sereno,Pomeriggio,0.0067
71,Sereno,Pomeriggio,0.0067
72,Sereno,Pomeriggio,0.04
73,Sereno,Pomeriggio,0.0067
74,Sereno,Pomeriggio,0.0067
75,Sereno,Pomeriggio,0.0067
76,Sereno,Pomeriggio,0.04
77,Sereno,Pomeriggio,0.04
78,Sereno,Pomeriggio,0.0067
79,Sereno,Pomeriggio,0.0067
80,Sereno,Pomeriggio,0.0067
81,Sereno,Pomeriggio,0.0067
82,Sereno,Pomeriggio,0.0067
83,Sereno,Pomeriggio,0.0067
84,Sereno,Pomeriggio,0.0067
85,Sereno,Pomeriggio,0.0067
86,Sereno,Pomeriggio,0.0067
87,Sereno,Pomeriggio,0.0067
88,Sereno,Pomeriggio,0.0067
89,Sereno,Pomeriggio,0.0067
90,Sereno,Pomeriggio,0.04
91,Sereno,Pomeriggio,0.04
92,Sereno,Pomeriggio,0.0067
93,Sereno,Pomeriggio,0.02
94,Sereno,Pomeriggio,0.0067
95,Sereno,Pomeriggio,0.0067
96,Sereno,Pomeriggio,0.02
97,Sereno,Pomeriggio,0.02
98,Sereno,Pomeriggio,0.2533
99,Sereno,Pomeriggio,0.0067
100,Sereno,Pomeriggio,0.0067
101,Sereno,Pomeriggio,0.0067
102,Sereno,Pomeriggio,0.1333
103,Sereno,Pomeriggio,0.1333
104,Sereno,Pomeriggio,0.1333
105,Sereno,Pomeriggio,0.1333
106,Sereno,Pomeriggio,0.1333
107,Sereno,Pomeriggio,0.1333
108,Sereno,Pomeriggio,0.1333
109,Sereno,Pomeriggio,0.1333
110,Sereno,Pomeriggio,0.1333
111,Sereno,Pomeriggio,0.1333
112,Sereno,Pomeriggio,0.1333
113,Sereno,Pomeriggio,0.1333
114,Sereno,Pomeriggio,0.0067
115,Sereno,Pomeriggio,0.02
116,Sereno,Pomeriggio,0.0067
117,Sereno,Pomeriggio,0.0067
118,Sereno,Pomeriggio,0.0067
119,Sereno,Pomeriggio,0.0067
120,Sereno,Pomeriggio,0.0067
121,Sereno,Pomeriggio,0.0067
122,Sereno,Pomeriggio,0.02
123,Sereno,Pomeriggio,0.02
124,Sereno,Pomeriggio,0.0067
125,Sereno,Pomeriggio,0.2133
126,Sereno,Pomeriggio,0.2133
127,Sereno,Pomeriggio,0.2133
128,Sereno,Pomeriggio,0.0067
129,Sereno,Pomeriggio,0.0067
130,Sereno,Pomeriggio,0.2133
131,Sereno,Pomeriggio,0.2133
132,Sereno,Pomeriggio,0.0067
133,Sereno,Pomeriggio,0.04
134,Sereno,Pomeriggio,0.04
135,Sereno,Pomeriggio,0.0067
136,Sereno,Pomeriggio,0.0467
137,Sereno,Pomeriggio,0.0467
138,Sereno,Pomeriggio,0.0467
139,Sereno,Pomeriggio,0.0267
140,Sereno,Pomeriggio,0.0267
141,Sereno,Pomeriggio,0.0267
142,Sereno,Pomeriggio,0.0133
143,Sereno,Pomeriggio,0.0133
144,Sereno,Pomeriggio,0.0133
145,Sereno,Pomeriggio,0.04
146,Sereno,Pomeriggio,0.1
147,Sereno,Pomeriggio,0.1
148,Sereno,Pomeriggio,0.0467
149,Sereno,Pomeriggio,0.0467
150,Sereno,Pomeriggio,0.0467
151,Sereno,Pomeriggio,0.0267
152,Sereno,Pomeriggio,0.0267
153,Sereno,Pomeriggio,0.0267
154,Sereno,Pomeriggio,0.0267
155,Sereno,Pomeriggio,0.0267
156,Sereno,Pomeriggio,0.0267
157,Sereno,Pomeriggio,0.0267
158,Sereno,Pomeriggio,0.0267
159,Sereno,Pomeriggio,0.0267
160,Sereno,Pomeriggio,0.0267
161,Sereno,Pomeriggio,0.0267
162,Sereno,Pomeriggio,0.0267
163,Sereno,Pomeriggio,0.0267
164,Sereno,Pomeriggio,0.0267
165,Sereno,Pomeriggio,0.0267
166,Sereno,Pomeriggio,0.0267
167,Sereno,Pomeriggio,0.0267
168,Sereno,Pomeriggio,0.0267
169,Sereno,Pomeriggio,0.0267
170,Sereno,Pomeriggio,0.0267
171,Sereno,Pomeriggio,0.1533
172,Sereno,Pomeriggio,0.1533
173,Sereno,Pomeriggio,0.1533
174,Sereno,Pomeriggio,0.1533
175,Sereno,Pomeriggio,0.1533
176,Sereno,Pomeriggio,0.1533
177,Sereno,Pomeriggio,0.04
178,Sereno,Pomeriggio,0.04
179,Sereno,Pomeriggio,0.04
1,Sereno,Sera,0.02
2,Sereno,Sera,0.02
3,Sereno,Sera,0.02
4,Sereno,Sera,0.02
5,Sereno,Sera,0.02
6,Sereno,Sera,0.02
7,Sereno,Sera,0.02
8,Sereno,Sera,0.02
9,Sereno,Sera,0.02
10,Sereno,Sera,0.02
11,Sereno,Sera,0.02
12,Sereno,Sera,0.02
13,Sereno,Sera,0.02
14,Sereno,Sera,0.02
15,Sereno,Sera,0.02
16,Sereno,Sera,0.0667
17,Sereno,Sera,0.02
18,Sereno,Sera,0.0333
19,Sereno,Sera,0.0333
20,Sereno,Sera,0.0333
21,Sereno,Sera,0.0333
22,Sereno,Sera,0.0333
23,Sereno,Sera,0.0333
24,Sereno,Sera,0.0333
25,Sereno,Sera,0.0333
26,Sereno,Sera,0.02
27,Sereno,Sera,0.02
28,Sereno,Sera,0.02
29,Sereno,Sera,0.02
30,Sereno,Sera,0.02
31,Sereno,Sera,0.02
32,Sereno,Sera,0.02
33,Sereno,Sera,0.02
34,Sereno,Sera,0.1533
35,Sereno,Sera,0.1533
36,Sereno,Sera,0.1533
37,Sereno,Sera,0.1533
38,Sereno,Sera,0.1533
39,Sereno,Sera,0.1533
40,Sereno,Sera,0.1533
41,Sereno,Sera,0.1533
42,Sereno,Sera,0.1533
43,Sereno,Sera,0.02
44,Sereno,Sera,0.02
45,Sereno,Sera,0.02
46,Sereno,Sera,0.02
47,Sereno,Sera,0.02
48,Sereno,Sera,0.1533
49,Sereno,Sera,0.02
50,Sereno,Sera,0.02
51,Sereno,Sera,0.02
52,Sereno,Sera,0.02
53,Sereno,Sera,0.02
54,Sereno,Sera,0.02
55,Sereno,Sera,0.02
56,Sereno,Sera,0.02
57,Sereno,Sera,0.02
58,Sereno,Sera,0.02
59,Sereno,Sera,0.02
60,Sereno,Sera,0.02
61,Sereno,Sera,0.02
62,Sereno,Sera,0.02
63,Sereno,Sera,0.0467
64,Sereno,Sera,0.0467
65,Sereno,Sera,0.0467
66,Sereno,Sera,0.0467
67,Sereno,Sera,0.0467
68,Sereno,Sera,0.0467
69,Sereno,Sera,0.02
70,Sereno,Sera,0.02
71,Sereno,Sera,0.02
72,Sereno,Sera,0.0667
73,Sereno,Sera,0.02
74,Sereno,Sera,0.02
75,Sereno,Sera,0.02
76,Sereno,Sera,0.0667
77,Sereno,Sera,0.0667
78,Sereno,Sera,0.02
79,Sereno,Sera,0.02
80,Sereno,Sera,0.02
81,Sereno,Sera,0.02
82,Sereno,Sera,0.02
83,Sereno,Sera,0.02
84,Sereno,Sera,0.02
85,Sereno,Sera,0.02
86,Sereno,Sera,0.02
87,Sereno,Sera,0.02
88,Sereno,Sera,0.02
89,Sereno,Sera,0.02
90,Sereno,Sera,0.0667
91,Sereno,Sera,0.0667
92,Sereno,Sera,0.02
93,Sereno,Sera,0.04
94,Sereno,Sera,0.02
95,Sereno,Sera,0.02
96,Sereno,Sera,0.04
97,Sereno,Sera,0.04
98,Sereno,Sera,0.2933
99,Sereno,Sera,0.02
100,Sereno,Sera,0.02
101,Sereno,Sera,0.02
102,Sereno,Sera,0.1
103,Sereno,Sera,0.1
104,Sereno,Sera,0.1
105,Sereno,Sera,0.1
106,Sereno,Sera,0.1
107,Sereno,Sera,0.1
108,Sereno,Sera,0.1
109,Sereno,Sera,0.1
110,Sereno,Sera,0.1
111,Sereno,Sera,0.1
112,Sereno,Sera,0.1
113,Sereno,Sera,0.1
114,Sereno,Sera,0.02
115,Sereno,Sera,0.04
116,Sereno,Sera,0.02
117,Sereno,Sera,0.02
118,Sereno,Sera,0.02
119,Sereno,Sera,0.02
120,Sereno,Sera,0.02
121,Sereno,Sera,0.02
122,Sereno,Sera,0.04
123,Sereno,Sera,0.04
124,Sereno,Sera,0.02
125,Sereno,Sera,0.16
126,Sereno,Sera,0.16
127,Sereno,Sera,0.16
128,Sereno,Sera,0.02
129,Sereno,Sera,0.02
130,Sereno,Sera,0.16
131,Sereno,Sera,0.16
132,Sereno,Sera,0.02
133,Sereno,Sera,0.0667
134,Sereno,Sera,0.0667
135,Sereno,Sera,0.02
136,Sereno,Sera,0.08
137,Sereno,Sera,0.08
138,Sereno,Sera,0.08
139,Sereno,Sera,0.04
140,Sereno,Sera,0.04
141,Sereno,Sera,0.04
142,Sereno,Sera,0.0267
143,Sereno,Sera,0.0267
144,Sereno,Sera,0.0267
145,Sereno,Sera,0.0667
146,Sereno,Sera,0.0867
147,Sereno,Sera,0.0867
148,Sereno,Sera,0.08
149,Sereno,Sera,0.08
150,Sereno,Sera,0.08
151,Sereno,Sera,0.0333
152,Sereno,Sera,0.0333
153,Sereno,Sera,0.0333
154,Sereno,Sera,0.0333
155,Sereno,Sera,0.0333
156,Sereno,Sera,0.0333
157,Sereno,Sera,0.0333
158,Sereno,Sera,0.0333
159,Sereno,Sera,0.0333
160,Sereno,Sera,0.0333
161,Sereno,Sera,0.0333
162,Sereno,Sera,0.0333
163,Sereno,Sera,0.0333
164,Sereno,Sera,0.0333
165,Sereno,Sera,0.0333
166,Sereno,Sera,0.0333
167,Sereno,Sera,0.0333
168,Sereno,Sera,0.0333
169,Sereno,Sera,0.0333
170,Sereno,Sera,0.0333
171,Sereno,Sera,0.1133
172,Sereno,Sera,0.1133
173,Sereno,Sera,0.1133
174,Sereno,Sera,0.1133
175,Sereno,Sera,0.1133
176,Sereno,Sera,0.1133
177,Sereno,Sera,0.0533
178,Sereno,Sera,0.0533
179,Sereno,Sera,0.0533
1,Pioggia,Mattino,0.0133
2,Pioggia,Mattino,0.0133
3,Pioggia,Mattino,0.0133
4,Pioggia,Mattino,0.0133
5,Pioggia,Mattino,0.0133
6,Pioggia,Mattino,0.0133
7,Pioggia,Mattino,0.0133
8,Pioggia,Mattino,0.0133
9,Pioggia,Mattino,0.0133
10,Pioggia,Mattino,0.0133
11,Pioggia,Mattino,0.0133
12,Pioggia,Mattino,0.0133
13,Pioggia,Mattino,0.0133
14,Pioggia,Mattino,0.0133
15,Pioggia,Mattino,0.0133
16,Pioggia,Mattino,0.0133
17,Pioggia,Mattino,0.0133
18,Pioggia,Mattino,0.0133
19,Pioggia,Mattino,0.0133
20,Pioggia,Mattino,0.0133
21,Pioggia,Mattino,0.0133
22,Pioggia,Mattino,0.0133
23,Pioggia,Mattino,0.0133
24,Pioggia,Mattino,0.0133
25,Pioggia,Mattino,0.0133
26,Pioggia,Mattino,0.0133
27,Pioggia,Mattino,0.0133
28,Pioggia,Mattino,0.0133
29,Pioggia,Mattino,0.0133
30,Pioggia,Mattino,0.0133
31,Pioggia,Mattino,0.0133
32,Pioggia,Mattino,0.0133
33,Pioggia,Mattino,0.0133
34,Pioggia,Mattino,0.1667
35,Pioggia,Mattino,0.1667
36,Pioggia,Mattino,0.1667
37,Pioggia,Mattino,0.1667
38,Pioggia,Mattino,0.1667
39,Pioggia,Mattino,0.1667
40,Pioggia,Mattino,0.1667
41,Pioggia,Mattino,0.1667
42,Pioggia,Mattino,0.1667
43,Pioggia,Mattino,0.0133
44,Pioggia,Mattino,0.0133
45,Pioggia,Mattino,0.0133
46,Pioggia,Mattino,0.0133
47,Pioggia,Mattino,0.0133
48,Pioggia,Mattino,0.1667
49,Pioggia,Mattino,0.0133
50,Pioggia,Mattino,0.0133
51,Pioggia,Mattino,0.0133
52,Pioggia,Mattino,0.0133
53,Pioggia,Mattino,0.0133
54,Pioggia,Mattino,0.0133
55,Pioggia,Mattino,0.0133
56,Pioggia,Mattino,0.0133
57,Pioggia,Mattino,0.0133
58,Pioggia,Mattino,0.0133
59,Pioggia,Mattino,0.0133
60,Pioggia,Mattino,0.0133
61,Pioggia,Mattino,0.0133
62,Pioggia,Mattino,0.0133
63,Pioggia,Mattino,0.0267
64,Pioggia,Mattino,0.0267
65,Pioggia,Mattino,0.0267
66,Pioggia,Mattino,0.0267
67,Pioggia,Mattino,0.0267
68,Pioggia,Mattino,0.0267
69,Pioggia,Mattino,0.0133
70,Pioggia,Mattino,0.0133
71,Pioggia,Mattino,0.0133
72,Pioggia,Mattino,0.0133
73,Pioggia,Mattino,0.0133
74,Pioggia,Mattino,0.0133
75,Pioggia,Mattino,0.0133
76,Pioggia,Mattino,0.0133
77,Pioggia,Mattino,0.0133
78,Pioggia,Mattino,0.0133
79,Pioggia,Mattino,0.0133
80,Pioggia,Mattino,0.0133
81,Pioggia,Mattino,0.0133
82,Pioggia,Mattino,0.0133
83,Pioggia,Mattino,0.0133
84,Pioggia,Mattino,0.0133
85,Pioggia,Mattino,0.0133
86,Pioggia,Mattino,0.0133
87,Pioggia,Mattino,0.0133
88,Pioggia,Mattino,0.0133
89,Pioggia,Mattino,0.0133
90,Pioggia,Mattino,0.0133
91,Pioggia,Mattino,0.0133
92,Pioggia,Mattino,0.0133
93,Pioggia,Mattino,0.0333
94,Pioggia,Mattino,0.0133
95,Pioggia,Mattino,0.0133
96,Pioggia,Mattino,0.0333
97,Pioggia,Mattino,0.0333
98,Pioggia,Mattino,0.22
99,Pioggia,Mattino,0.0133
100,Pioggia,Mattino,0.0133
101,Pioggia,Mattino,0.0133
102,Pioggia,Mattino,0.0333
103,Pioggia,Mattino,0.0333
