mese,giorno_settimana,fascia_oraria,comune,nome_strada,tipo_luogo,fondo,segnaletica,meteo,lon,lat,incidente,segment_id,n_attraversamenti,n_semafori,n_stop,n_incroci,n_autovelox,n_lampioni,maxspeed_med
10,Sabato,Sera,CARRE',SP 349 Costo,Rotatoria,Asciutto,Assente,Sereno,11.440115,45.7382374,1,98.0,2,0,0,0,0,16,130
11,Lunedì,Mattino,PIOVENE ROCCHETTE,SP 349 Costo,Incrocio,Asciutto,Assente,Sereno,11.4418718,45.7594376,1,123.0,10,0,4,0,2,10,50
2,Lunedì,Pomeriggio,PIOVENE ROCCHETTE,SP 349 Costo,Incrocio,Asciutto,Assente,Sereno,11.442722,45.7599064,1,123.0,10,0,4,0,2,10,50
12,Giovedì,Pomeriggio,PIOVENE ROCCHETTE,SP 349 Costo,Incrocio,Asciutto,Assente,Sereno,11.4427382,45.759941,1,123.0,10,0,4,0,2,10,50
10,Sabato,Pomeriggio,PIOVENE ROCCHETTE,SP 349 Costo,Intersezione segnalata,Asciutto,Assente,Sereno,11.4427596,45.7599373,1,123.0,10,0,4,0,2,10,50
11,Martedì,Sera,ZANE',SP 349 Costo,Rettilineo,Asciutto,Assente,Sereno,11.4485884,45.7269181,1,126.0,4,6,0,1,0,0,50
2,Sabato,Mattino,ZANE',SP 349 Costo,Intersezione con semaforo o vigile,Asciutto,,Altro,11.4517906,45.7215758,1,127.0,12,10,2,1,0,0,50
4,Domenica,Pomeriggio,CALTRANO,SP 349 Costo,Curva,Asciutto,Assente,Sereno,11.4540517,45.770756,1,128.0,3,0,2,0,0,0,50
10,Lunedì,Sera,ZANE',SP 349 Costo,Rettilineo,Bagnato,Orizzontale,Pioggia,11.456421,45.717102,1,130.0,10,7,4,0,0,0,50
10,Lunedì,Pomeriggio,ZANE',SP 349 Costo,Rettilineo,Asciutto,Assente,Sereno,11.4585289,45.7160634,1,130.0,10,7,4,0,0,0,50
10,Venerdì,Pomeriggio,ZANE',SP 349 Costo,Incrocio,Asciutto,Assente,Sereno,11.4588689,45.7158206,1,130.0,10,7,4,0,0,0,50
4,Martedì,Pomeriggio,ZANE',SP 349 Costo,Incrocio,Asciutto,,Altro,11.4589743,45.7157572,1,130.0,10,7,4,0,0,0,50
11,Giovedì,Pomeriggio,THIENE,SP 349 var Costo Variante,Rotatoria,Asciutto,Assente,Sereno,11.4606541,45.6976929,1,150.0,2,0,0,0,0,0,50
11,Sabato,Pomeriggio,ISOLA VICENTINA,SP 046 Pasubio,Intersezione con semaforo o vigile,Bagnato,,Altro,11.4668834,45.6143151,1,30.0,2,4,0,0,0,1,50
4,Venerdì,Sera,ISOLA VICENTINA,SP 046 Pasubio,Rettilineo,Asciutto,Assente,Sereno,11.4756142,45.6092976,1,33.0,0,0,0,0,0,14,60
4,Lunedì,Pomeriggio,THIENE,SP 349 Costo,Rettilineo,Asciutto,Assente,Sereno,11.4848971,45.6834578,1,136.0,3,0,0,0,1,0,70
4,Sabato,Sera,THIENE,SP 349 Costo,Rettilineo,Asciutto,Assente,Sereno,11.4849376,45.6831684,1,136.0,3,0,0,0,1,0,70
12,Venerdì,Mattino,THIENE,SP 349 Costo,Intersezione segnalata,Asciutto,Assente,Sereno,11.4885557,45.671597,1,137.0,9,0,3,0,2,0,130
3,Martedì,Notte,THIENE,SP 349 Costo,Intersezione segnalata,Asciutto,Assente,Sereno,11.48862,45.671374,1,137.0,9,0,3,0,2,0,130
11,Mercoledì,Pomeriggio,THIENE,SP 349 Costo,Incrocio,Asciutto,Assente,Sereno,11.4886308,45.6713805,1,137.0,9,0,3,0,2,0,130
11,Giovedì,Pomeriggio,CALDOGNO,SP 349 Costo,Intersezione segnalata,Asciutto,,Altro,11.4913934,45.6195024,1,143.0,0,0,0,0,0,3,70
2,Martedì,Sera,VILLAVERLA,SP 349 Costo,Intersezione segnalata,Sdrucciolevole,,Altro,11.4926192,45.6591084,1,140.0,16,0,2,0,0,0,50
3,Martedì,Pomeriggio,VILLAVERLA,SP 349 Costo,Intersezione segnalata,Bagnato,Orizzontale,Pioggia,11.4926714,45.6590303,1,140.0,16,0,2,0,0,0,50
4,Giovedì,Pomeriggio,VILLAVERLA,SP 349 Costo,Incrocio,Asciutto,Assente,Sereno,11.4929008,45.6583501,1,140.0,16,0,2,0,0,0,50
1,Martedì,Sera,COSTABISSARA,SP 349 Costo,Intersezione segnalata,Bagnato,Orizzontale,Pioggia,11.4933997,45.6039802,1,36.0,14,0,1,0,0,7,50
10,Sabato,Pomeriggio,COSTABISSARA,SP 046 Pasubio,Rettilineo,Asciutto,Assente,Sereno,11.494811,45.6004654,1,39.0,12,0,0,0,0,20,50
10,Martedì,Mattino,COSTABISSARA,SP 046 Pasubio,Rettilineo,Bagnato,Orizzontale,Pioggia,11.4948803,45.600092,1,39.0,12,0,0,0,0,20,50
2,Lunedì,Mattino,COSTABISSARA,SP 046 Pasubio,Rettilineo,Asciutto,Assente,Sereno,11.4961984,45.5966615,1,40.0,21,1,0,0,0,44,50
3,Lunedì,Mattino,ASIAGO,SP 349 Costo,Intersezione segnalata,Asciutto,Assente,Sereno,11.4965916,45.869035,1,133.0,4,0,6,0,1,0,50
10,Martedì,Mattino,COSTABISSARA,SP 046 Pasubio,Rettilineo,Asciutto,Assente,Sereno,11.4975491,45.5921645,1,41.0,4,0,0,0,0,31,50
12,Mercoledì,Mattino,ASIAGO,SP 349 Costo,Rettilineo,Asciutto,Assente,Sereno,11.500293,45.8713956,1,133.0,4,0,6,0,1,0,50
10,Sabato,Pomeriggio,VICENZA,SP 046 rac Pasubio Raccordo del Sole,Intersezione con semaforo o vigile,Asciutto,Assente,Sereno,11.5091658,45.5470255,1,51.0,0,0,0,0,0,0,90
11,Venerdì,Sera,VICENZA,SP 046 rac Pasubio Raccordo del Sole,Intersezione con semaforo o vigile,Bagnato,Orizzontale,Pioggia,11.5091658,45.5469955,1,51.0,0,0,0,0,0,0,90
11,Venerdì,Sera,VICENZA,SP 046 rac Pasubio Raccordo del Sole,Intersezione con semaforo o vigile,Asciutto,Orizzontale,Pioggia,11.5092516,45.5470556,1,51.0,0,0,0,0,0,0,90
2,Lunedì,Notte,VICENZA,SP 046 rac Pasubio Raccordo del Sole,Incrocio,Asciutto,Assente,Sereno,11.509257,45.5469992,1,51.0,0,0,0,0,0,0,90
4,Sabato,Sera,VICENZA,SP 046 rac Pasubio Raccordo del Sole,Intersezione con semaforo o vigile,Asciutto,Assente,Sereno,11.5092677,45.5469936,1,51.0,0,0,0,0,0,0,90
3,Mercoledì,Mattino,VICENZA,SP 046 rac Pasubio Raccordo del Sole,Rettilineo,Bagnato,Orizzontale,Pioggia,11.5155272,45.5521684,1,,0,0,0,0,0,0,50
2,Mercoledì,Pomeriggio,VICENZA,SP 046 rac Pasubio Raccordo del Sole,Intersezione con semaforo o vigile,Asciutto,Assente,Sereno,11.518414,45.5548016,1,,0,0,0,0,0,0,50
11,Sabato,Mattino,VICENZA,SP 046 rac Pasubio Raccordo del Sole,Incrocio,Asciutto,Assente,Sereno,11.5184964,45.5547616,1,,0,0,0,0,0,0,50
2,Venerdì,Sera,VICENZA,SP 046 rac Pasubio Raccordo del Sole,Incrocio,Asciutto,Assente,Sereno,11.5185159,45.5547979,1,,0,0,0,0,0,0,50
4,Domenica,Sera,VICENZA,SP 046 rac Pasubio Raccordo del Sole,Intersezione con semaforo o vigile,Asciutto,Assente,Sereno,11.518591,45.5547753,1,,0,0,0,0,0,0,50
3,Giovedì,Sera,VALLI DEL PASUBIO,SP 046 Pasubio,Intersezione segnalata,Asciutto,Assente,Sereno,11.2347651,45.7494384,1,9.0,0,0,0,0,0,0,40
2,Giovedì,Pomeriggio,VALLI DEL PASUBIO,SP 046 Pasubio,Rettilineo,Ghiacciato,Assente,Sereno,11.243434,45.7437483,1,10.0,0,0,0,0,0,0,50
1,Domenica,Pomeriggio,VALLI DEL PASUBIO,SP 046 Pasubio,Incrocio,Asciutto,Assente,Sereno,11.262306,45.7400569,1,11.0,8,0,1,0,0,0,50
12,Giovedì,Pomeriggio,ARSIERO,SP 350 Val d'Astico,Rettilineo,Asciutto,Assente,Sereno,11.361652,45.8042241,1,170.0,0,0,5,0,0,0,50
1,Domenica,Notte,ARSIERO,SP 350 Val d'Astico,Rettilineo,Asciutto,Assente,Sereno,11.3673542,45.8243251,1,167.0,1,0,0,0,0,0,50
12,Martedì,Sera,SCHIO,SP 350 Val d'Astico,Rettilineo,Asciutto,Assente,Sereno,11.3725723,45.7286719,1,73.0,6,4,0,0,0,0,70
12,Sabato,Pomeriggio,SANTORSO,SP 350 Val d'Astico,Incrocio,Asciutto,Assente,Sereno,11.3769671,45.729834,1,73.0,6,4,0,0,0,0,70
4,Venerdì,Mattino,SAN VITO DI LEGUZZANO,SP 046 Pasubio,Incrocio,Asciutto,Assente,Sereno,11.3803446,45.6854553,1,,0,0,0,0,0,0,50
10,Martedì,Mattino,SCHIO,SP 046 Pasubio,Rettilineo,Asciutto,Assente,Sereno,11.3852692,45.6963485,1,16.0,0,0,0,0,0,0,50
1,Lunedì,Mattino,ASIAGO,SP 349 Costo,Curva,Ghiacciato,Assente,Sereno,11.3938103,45.9501902,1,91.0,0,0,0,0,0,0,50
2,Sabato,Mattino,SAN VITO DI LEGUZZANO,SP 046 Pasubio,Rotatoria,Asciutto,Assente,Sereno,11.3941848,45.6892065,1,16.0,0,0,0,0,0,0,50
12,Giovedì,Mattino,MALO,SP 046 Pasubio,Rotatoria,Asciutto,Assente,Sereno,11.402843,45.6771614,1,19.0,5,0,0,0,0,3,50
10,Sabato,Mattino,MALO,SP 046 Pasubio,Rotatoria,Bagnato,Orizzontale,Pioggia,11.4067054,45.6663057,1,20.0,3,0,0,0,0,0,50
10,Lunedì,Pomeriggio,MALO,SP 046 Pasubio,Rettilineo,Asciutto,,Altro,11.4091651,45.6635615,1,21.0,8,0,0,0,0,37,50
11,Giovedì,Sera,COGOLLO DEL CENGIO,SP 350 Val d'Astico,Intersezione con semaforo o vigile,Bagnato,,Altro,11.409976,45.7897768,1,174.0,3,0,0,0,0,0,70
11,Lunedì,Pomeriggio,MALO,SP 046 Pasubio,Rettilineo,Asciutto,Assente,Sereno,11.4122,45.66067,1,21.0,8,0,0,0,0,37,50
2,Mercoledì,Sera,MALO,SP 046 Pasubio,Rettilineo,Asciutto,Assente,Sereno,11.4148486,45.6579227,1,22.0,4,1,2,0,0,20,50
2,Mercoledì,Pomeriggio,MALO,SP 046 Pasubio,Rettilineo,Asciutto,Assente,Sereno,11.4149129,45.6578177,1,22.0,4,1,2,0,0,20,50
10,Domenica,Pomeriggio,MALO,SP 046 Pasubio,Intersezione con semaforo o vigile,Bagnato,Orizzontale,Pioggia,11.418196,45.6539932,1,22.0,4,1,2,0,0,20,50
4,Venerdì,Pomeriggio,COGOLLO DEL CENGIO,SP 349 Costo,Rettilineo,Innevato,Orizzontale,Pioggia,11.42652,45.81024,1,102.0,0,0,0,0,2,0,70
3,Venerdì,Mattino,PIOVENE ROCCHETTE,SP 350 Val d'Astico,Rettilineo,Asciutto,Assente,Sereno,11.4269468,45.7498684,1,93.0,12,5,2,0,3,0,50
11,Martedì,Pomeriggio,PIOVENE ROCCHETTE,SP 350 Val d'Astico,Rotatoria,Asciutto,Assente,Sereno,11.4288712,45.7516319,1,96.0,9,0,3,0,0,0,50
12,Mercoledì,Mattino,PIOVENE ROCCHETTE,SP 349 Costo,Rotatoria,Asciutto,Assente,Sereno,11.4293023,45.7525323,1,96.0,9,0,3,0,0,0,50
10,Lunedì,Notte,PIOVENE ROCCHETTE,SP 350 Val d'Astico,Intersezione segnalata,Bagnato,Assente,Sereno,11.4312744,45.7663629,1,178.0,16,10,8,0,0,0,50
10,Sabato,Mattino,PIOVENE ROCCHETTE,SP 350 Val d'Astico,Incrocio,Asciutto,Assente,Sereno,11.4336348,45.7637808,1,178.0,16,10,8,0,0,0,50
10,Domenica,Sera,MARANO VICENTINO,SP 349 var Costo Variante,Rettilineo,Asciutto,Assente,Sereno,11.4382766,45.7123815,1,146.0,0,0,0,1,0,0,40
12,Martedì,Pomeriggio,PIOVENE ROCCHETTE,SP 349 Costo,Rotatoria,Asciutto,Assente,Sereno,11.4382861,45.7575018,1,123.0,10,0,4,0,2,10,50
10,Giovedì,Pomeriggio,PIOVENE ROCCHETTE,SP 350 Val d'Astico,Intersezione segnalata,Asciutto,Assente,Sereno,11.438452,45.7610488,1,179.0,10,0,4,0,1,0,50
4,Giovedì,Pomeriggio,PIOVENE ROCCHETTE,SP 350 Val d'Astico,Incrocio,Asciutto,Assente,Sereno,11.4384949,45.7610862,1,178.0,16,10,8,0,0,0,50
4,Giovedì,Mattino,ISOLA VICENTINA,SP 046 Pasubio,Rettilineo,Asciutto,Assente,Sereno,11.4422715,45.6291123,1,26.0,13,0,1,0,0,24,50
2,Lunedì,Mattino,ZANE',SP 349 Costo,Rettilineo,Asciutto,Assente,Sereno,11.4565462,45.7170833,1,130.0,10,7,4,0,0,0,50
11,Venerdì,Mattino,ISOLA VICENTINA,SP 046 Pasubio,Rettilineo,Asciutto,Assente,Sereno,11.459105,45.6208333,1,29.0,1,0,0,0,0,2,90
11,Mercoledì,Pomeriggio,ROANA,SP 349 Costo,Rettilineo,Asciutto,Assente,Sereno,11.4744258,45.8647766,1,132.0,17,0,5,0,0,0,50
11,Sabato,Sera,THIENE,SP 349 Costo,Incrocio,Bagnato,Orizzontale,Pioggia,11.4845645,45.6844622,1,136.0,3,0,0,0,1,0,70
2,Lunedì,Sera,THIENE,SP 349 Costo,Incrocio,Asciutto,Assente,Sereno,11.4846262,45.6843386,1,136.0,3,0,0,0,1,0,70
4,Mercoledì,Pomeriggio,THIENE,SP 349 Costo,Incrocio,Asciutto,,Altro,11.4876196,45.6747513,1,137.0,9,0,3,0,2,0,130
11,Sabato,Mattino,CALDOGNO,SP 349 Costo,Rotatoria,Asciutto,Assente,Sereno,11.4921069,45.6323759,1,142.0,0,0,0,0,0,0,90
4,Venerdì,Sera,CALDOGNO,SP 349 Costo,Rotatoria,Asciutto,Assente,Sereno,11.4921284,45.6323759,1,142.0,0,0,0,0,0,0,90
11,Venerdì,Mattino,VILLAVERLA,SP 349 Costo,Rotatoria,Asciutto,Assente,Sereno,11.4927981,45.6438503,1,139.0,11,0,4,0,2,0,50
4,Giovedì,Pomeriggio,COSTABISSARA,SP 349 Costo,Rettilineo,Asciutto,Orizzontale,Pioggia,11.4933413,45.6041924,1,36.0,14,0,1,0,0,7,50
2,Lunedì,Pomeriggio,VILLAVERLA,SP 349 Costo,Rettilineo,Asciutto,Assente,Sereno,11.49379,45.65594,1,140.0,16,0,2,0,0,0,50
1,Venerdì,Pomeriggio,COSTABISSARA,SP 046 Pasubio,Intersezione segnalata,Asciutto,Assente,Sereno,11.4938021,45.6028393,1,37.0,11,0,0,0,0,12,50
3,Giovedì,Mattino,VILLAVERLA,SP 349 Costo,Rettilineo,Asciutto,Assente,Sereno,11.493981,45.650717,1,139.0,11,0,4,0,2,0,50
11,Lunedì,Pomeriggio,VILLAVERLA,SP 349 Costo,Intersezione segnalata,Asciutto,Assente,Sereno,11.4944029,45.6537457,1,140.0,16,0,2,0,0,0,50
2,Mercoledì,Pomeriggio,COSTABISSARA,SP 046 Pasubio,Dosso,Asciutto,Assente,Sereno,11.4971047,45.5934608,1,41.0,4,0,0,0,0,31,50
3,Venerdì,Pomeriggio,VICENZA,SP 046 rac Pasubio Raccordo del Sole,Intersezione segnalata,Asciutto,Assente,Sereno,11.50812,45.53822,1,68.0,1,0,0,0,0,12,50
1,Giovedì,Mattino,VICENZA,SP 046 rac Pasubio Raccordo del Sole,Dosso,Bagnato,Assente,Sereno,11.5085167,45.5426599,1,62.0,0,0,0,0,0,0,90
3,Mercoledì,Mattino,VICENZA,SP 046 rac Pasubio Raccordo del Sole,Intersezione con semaforo o vigile,Asciutto,Assente,Sereno,11.50932,45.54725,1,51.0,0,0,0,0,0,0,90
10,Mercoledì,Pomeriggio,VICENZA,SP 046 rac Pasubio Raccordo del Sole,Intersezione con semaforo o vigile,Asciutto,Assente,Sereno,11.51848,45.5548,1,,0,0,0,0,0,0,50
10,Venerdì,Sera,VICENZA,SP 046 rac Pasubio Raccordo del Sole,Intersezione con semaforo o vigile,Asciutto,Assente,Sereno,11.5185673,45.5547268,1,,0,0,0,0,0,0,50
10,Sabato,Notte,VICENZA,SP 046 rac Pasubio Raccordo del Sole,Intersezione con semaforo o vigile,Asciutto,Assente,Sereno,11.518586,45.5547188,1,,0,0,0,0,0,0,50
2,Lunedì,Mattino,TORREBELVICINO,SP 046 Pasubio,Curva,Asciutto,Assente,Sereno,11.27979,45.72724,1,13.0,1,0,0,0,0,0,30
10,Mercoledì,Pomeriggio,ARSIERO,SP 350 Val d'Astico,Curva,Asciutto,Assente,Sereno,11.36713,45.82387,1,167.0,1,0,0,0,0,0,50
2,Venerdì,Mattino,SCHIO,SP 350 Val d'Astico,Rettilineo,Asciutto,Assente,Sereno,11.3692265,45.727025,1,73.0,6,4,0,0,0,0,70
12,Lunedì,Pomeriggio,SANTORSO,SP 350 Val d'Astico,Rettilineo,Bagnato,Assente,Sereno,11.375,45.72925,1,73.0,6,4,0,0,0,0,70
10,Venerdì,Mattino,SANTORSO,SP 350 Val d'Astico,Incrocio,Bagnato,Assente,Sereno,11.37983,45.73052,1,73.0,6,4,0,0,0,0,70
4,Martedì,Pomeriggio,SANTORSO,SP 350 Val d'Astico,Intersezione con semaforo o vigile,Bagnato,Orizzontale,Pioggia,11.3867736,45.732316,1,74.0,6,1,0,0,0,0,50
2,Giovedì,Pomeriggio,SAN VITO DI LEGUZZANO,SP 046 Pasubio,Rettilineo,Asciutto,Assente,Sereno,11.3904886,45.6922711,1,16.0,0,0,0,0,0,0,50
10,Sabato,Mattino,SANTORSO,SP 350 Val d'Astico,Incrocio,Asciutto,Assente,Sereno,11.3947174,45.7343897,1,75.0,4,0,0,0,0,0,70
2,Lunedì,Sera,MALO,SP 046 Pasubio,Curva,Asciutto,Assente,Sereno,11.40314,45.67764,1,18.0,1,0,0,0,0,5,90
3,Venerdì,Pomeriggio,MALO,SP 046 Pasubio,Rotatoria,Asciutto,,Altro,11.4064643,45.6661297,1,20.0,3,0,0,0,0,0,50
4,Lunedì,Pomeriggio,MALO,SP 046 Pasubio,Rettilineo,Bagnato,Orizzontale,Pioggia,11.4079242,45.6647552,1,21.0,8,0,0,0,0,37,50
2,Martedì,Mattino,MALO,SP 046 Pasubio,Rettilineo,Asciutto,Assente,Sereno,11.4091213,45.6635546,1,21.0,8,0,0,0,0,37,50
12,Giovedì,Sera,MALO,SP 046 Pasubio,Rettilineo,Bagnato,Assente,Sereno,11.4141506,45.6585607,1,21.0,8,0,0,0,0,37,50
