mese,giorno_settimana,fascia_oraria,comune,nome_strada,tipo_luogo,fondo,segnaletica,meteo,lon,lat,incidente
12,Lunedì,Sera,SANTORSO,SP 349 Costo,Intersezione con semaforo o vigile,Bagnato,Temporanea di cantiere,Neve,11.37431742545398,45.72912639007464,0
5,Lunedì,Sera,ROANA,SP 349 Costo,Galleria illuminata,Asciutto,Assente,Nebbia,11.469825028599807,45.88930965164895,0
12,Lunedì,Mattino,THIENE,SP 349 var Costo Variante,Pendenza,Innevato,Verticale,Neve,11.455526971683943,45.70229683331442,0
1,Mercoledì,Notte,ASIAGO,SP 349 Costo,Incrocio,Bagnato,Assente,Sereno,11.505078971898241,45.874616971618146,0
10,Giovedì,Notte,MARANO VICENTINO,SP 349 var Costo Variante,Rettilineo,Ghiacciato,Assente,Pioggia,11.426328627558659,45.71899878808866,0
5,Venerdì,Sera,SANTORSO,SP 349 Costo,Dosso,Bagnato,Temporanea di cantiere,Altro,11.393907350620308,45.734181676025244,0
4,Sabato,Sera,LASTEBASSE,SP 350 Val d'Astico,Intersezione non segnalata,Innevato,Orizzontale,Altro,11.29657666491202,45.91162629918483,0
10,Martedì,Sera,ZANE',SP 349 var Costo Variante,Rettilineo,Asciutto,Verticale,Neve,11.444909030023315,45.70902794144688,0
4,Sabato,Pomeriggio,ZANE',SP 349 var Costo Variante,Dosso,Asciutto,Temporanea di cantiere,Altro,11.449065165431003,45.70689885504492,0
10,Sabato,Notte,COGOLLO DEL CENGIO,SP 349 Costo,Rettilineo,Asciutto,Verticale,Neve,11.43419468513965,45.79410359565264,0
3,Mercoledì,Sera,VALLI DEL PASUBIO,SP 046 Pasubio,Intersezione non segnalata,Bagnato,Verticale,Sereno,11.211509539595351,45.757557075661055,0
2,Domenica,Notte,ASIAGO,SP 349 Costo,Rettilineo,Asciutto,Assente,Pioggia,11.434771894030822,45.94833016843015,0
4,Domenica,Pomeriggio,COSTABISSARA,SP 046 Pasubio,Curva,Bagnato,Assente,Nebbia,11.502745109444811,45.58619428737345,0
8,Sabato,Sera,ROANA,SP 349 Costo,Intersezione con semaforo o vigile,Asciutto,Verticale,Altro,11.460163341811898,45.86084000227537,0
3,Lunedì,Pomeriggio,THIENE,SP 349 Costo,Curva,Ghiacciato,Orizzontale,Nebbia,11.488794002545115,45.671098988215824,0
2,Mercoledì,Sera,SCHIO,SP 046 var Torrebelvicino,Curva,Asciutto,Verticale,Neve,11.331136378843242,45.713554578293994,0
9,Martedì,Mattino,VALLI DEL PASUBIO,SP 046 Pasubio,Rotatoria,Innevato,Temporanea di cantiere,Pioggia,11.25517221830065,45.74353583072468,0
6,Sabato,Sera,COGOLLO DEL CENGIO,SP 349 Costo,Intersezione non segnalata,Innevato,Temporanea di cantiere,Altro,11.432639390276732,45.79686246167155,0
6,Sabato,Pomeriggio,COGOLLO DEL CENGIO,SP 349 Costo,Pendenza,Ghiacciato,Orizzontale,Vento forte,11.422195224363783,45.80205010050259,0
3,Mercoledì,Notte,LASTEBASSE,SP 350 Val d'Astico,Intersezione segnalata,Ghiacciato,Orizzontale,Vento forte,11.30398802325397,45.90836507760278,0
1,Venerdì,Pomeriggio,MARANO VICENTINO,SP 349 var Costo Variante,Pendenza,Ghiacciato,Temporanea di cantiere,Sereno,11.429726890145504,45.71686672322754,0
1,Martedì,Sera,SANTORSO,SP 349 Costo,Curva,Innevato,Assente,Nebbia,11.40469984414086,45.73658870896891,0
9,Sabato,Notte,PIOVENE ROCCHETTE,SP 350 Val d'Astico,Intersezione con semaforo o vigile,Sdrucciolevole,Orizzontale,Altro,11.438484217578504,45.76077099922776,0
1,Venerdì,Pomeriggio,ROANA,SP 349 Costo,Dosso,Ghiacciato,Temporanea di cantiere,Sereno,11.459159638939548,45.860623508088075,0
3,Venerdì,Notte,ZANE',SP 349 Costo,Galleria illuminata,Sdrucciolevole,Assente,Neve,11.45262156121571,45.72035308952736,0
5,Martedì,Notte,VALLI DEL PASUBIO,SP 046 Pasubio,Rotatoria,Bagnato,Verticale,Pioggia,11.203601222263854,45.75982603127774,0
9,Venerdì,Notte,VALLI DEL PASUBIO,SP 046 Pasubio,Curva,Asciutto,Orizzontale,Nebbia,11.214798240329285,45.755463394951555,0
5,Domenica,Sera,VALDASTICO,SP 350 Val d'Astico,Intersezione con semaforo o vigile,Innevato,Verticale,Nebbia,11.359465736142463,45.87712080316152,0
12,Venerdì,Sera,ASIAGO,SP 349 Costo,Intersezione segnalata,Ghiacciato,Verticale,Altro,11.417546401830071,45.95109996504987,0
6,Giovedì,Mattino,ASIAGO,SP 349 Costo,Intersezione segnalata,Bagnato,Assente,Vento forte,11.405198653452835,45.94513276930051,0
9,Sabato,Pomeriggio,MALO,SP 046 Pasubio,Pendenza,Ghiacciato,Assente,Altro,11.429474514519525,45.64194375588154,0
5,Lunedì,Notte,COGOLLO DEL CENGIO,SP 350 Val d'Astico,Intersezione segnalata,Sdrucciolevole,Verticale,Pioggia,11.39866162100163,45.79257457496309,0
12,Martedì,Pomeriggio,ROANA,SP 349 Costo,Dosso,Asciutto,Assente,Neve,11.483810374429849,45.8803942553864,0
5,Domenica,Mattino,ROANA,SP 349 Costo,Rettilineo,Innevato,Temporanea di cantiere,Sereno,11.43866513188907,45.84297906661358,0
11,Sabato,Sera,COGOLLO DEL CENGIO,SP 349 Costo,Intersezione segnalata,Innevato,Temporanea di cantiere,Vento forte,11.431372575102884,45.79626569899443,0
8,Lunedì,Pomeriggio,VALDASTICO,SP 350 Val d'Astico,Intersezione non segnalata,Innevato,Verticale,Altro,11.360086086250657,45.87434007682747,0
8,Mercoledì,Mattino,PIOVENE ROCCHETTE,SP 349 Costo,Intersezione non segnalata,Sdrucciolevole,Verticale,Nebbia,11.441387236698695,45.759094263489445,0
5,Martedì,Mattino,VALLI DEL PASUBIO,SP 046 Pasubio,Pendenza,Bagnato,Orizzontale,Nebbia,11.180563195248327,45.75766026359394,0
9,Martedì,Pomeriggio,VICENZA,SP 046 Pasubio,Intersezione non segnalata,Ghiacciato,Temporanea di cantiere,Vento forte,11.502527262301355,45.57689888293261,0
10,Domenica,Notte,VICENZA,SP 046 rac Pasubio Raccordo del Sole,Incrocio,Innevato,Verticale,Nebbia,11.508187207205303,45.533568748538194,0
10,Sabato,Sera,PIOVENE ROCCHETTE,SP 350 Val d'Astico,Rettilineo,Asciutto,Temporanea di cantiere,Vento forte,11.434473264645478,45.76341398000689,0
2,Sabato,Mattino,ROANA,SP 349 Costo,Rettilineo,Ghiacciato,Assente,Sereno,11.436089030882748,45.8290028754444,0
11,Sabato,Sera,VICENZA,SP 046 Pasubio,Galleria illuminata,Asciutto,Verticale,Altro,11.501795842721345,45.55091857451512,0
11,Lunedì,Mattino,SANTORSO,SP 349 Costo,Rotatoria,Ghiacciato,Temporanea di cantiere,Vento forte,11.378171428407532,45.73012294177975,0
3,Domenica,Notte,ARSIERO,SP 350 Val d'Astico,Rotatoria,Asciutto,Assente,Nebbia,11.368797093793132,45.82733904723935,0
12,Venerdì,Pomeriggio,ROANA,SP 349 Costo,Intersezione non segnalata,Innevato,Assente,Altro,11.465629607635597,45.8991916684631,0
7,Lunedì,Sera,COGOLLO DEL CENGIO,SP 349 Costo,Rettilineo,Asciutto,Assente,Sereno,11.424054665395607,45.80722765784266,0
4,Lunedì,Mattino,VALLI DEL PASUBIO,SP 046 Pasubio,Rettilineo,Sdrucciolevole,Temporanea di cantiere,Pioggia,11.238098573734254,45.74530156272563,0
3,Martedì,Notte,VICENZA,SP 046 rac Pasubio Raccordo del Sole,Pendenza,Ghiacciato,Verticale,Neve,11.5080427071188,45.539299755136696,0
5,Lunedì,Notte,ROANA,SP 349 Costo,Dosso,Innevato,Orizzontale,Neve,11.453644408670728,45.91848317761401,0
1,Sabato,Mattino,COSTABISSARA,SP 046 Pasubio,Galleria illuminata,Bagnato,Assente,Vento forte,11.49395727708623,45.602736922706846,0
9,Martedì,Sera,ROANA,SP 349 Costo,Rotatoria,Innevato,Verticale,Sereno,11.437022797970236,45.82516296613329,0
9,Venerdì,Mattino,LASTEBASSE,SP 350 Val d'Astico,Intersezione con semaforo o vigile,Asciutto,Temporanea di cantiere,Altro,11.276536315899376,45.91504385557555,0
9,Domenica,Sera,ISOLA VICENTINA,SP 046 Pasubio,Rotatoria,Sdrucciolevole,Temporanea di cantiere,Pioggia,11.461897877291438,45.61910836377467,0
7,Domenica,Mattino,VILLAVERLA,SP 349 Costo,Pendenza,Innevato,Assente,Vento forte,11.491756009429329,45.633083036396656,0
5,Lunedì,Notte,ARSIERO,SP 350 Val d'Astico,Intersezione con semaforo o vigile,Bagnato,Verticale,Sereno,11.362907545556526,45.80367949704789,0
9,Mercoledì,Sera,COGOLLO DEL CENGIO,SP 350 Val d'Astico,Intersezione con semaforo o vigile,Sdrucciolevole,Assente,Pioggia,11.380350903144782,45.80005024881677,0
11,Sabato,Notte,ROANA,SP 349 Costo,Intersezione segnalata,Sdrucciolevole,Temporanea di cantiere,Pioggia,11.487826922429502,45.86901345052698,0
2,Martedì,Notte,COGOLLO DEL CENGIO,SP 350 Val d'Astico,Curva,Bagnato,Temporanea di cantiere,Sereno,11.42835507520374,45.782288982229225,0
5,Martedì,Notte,LASTEBASSE,SP 350 Val d'Astico,Dosso,Ghiacciato,Temporanea di cantiere,Neve,11.272211663161439,45.915195724855614,0
12,Venerdì,Mattino,VALDASTICO,SP 350 Val d'Astico,Intersezione con semaforo o vigile,Sdrucciolevole,Temporanea di cantiere,Neve,11.353631216937718,45.88697648110623,0
11,Lunedì,Sera,VALLI DEL PASUBIO,SP 046 Pasubio,Pendenza,Ghiacciato,Orizzontale,Neve,11.191374237131061,45.75862946438185,0
12,Giovedì,Pomeriggio,ROANA,SP 349 Costo,Intersezione con semaforo o vigile,Sdrucciolevole,Temporanea di cantiere,Vento forte,11.475652521673835,45.865982605569336,0
3,Lunedì,Notte,VALLI DEL PASUBIO,SP 046 Pasubio,Incrocio,Innevato,Orizzontale,Altro,11.186353251380236,45.75624006620882,0
6,Martedì,Notte,ROANA,SP 349 Costo,Pendenza,Sdrucciolevole,Orizzontale,Pioggia,11.470323606816004,45.88905837256935,0
2,Lunedì,Notte,ROANA,SP 349 Costo,Intersezione segnalata,Ghiacciato,Temporanea di cantiere,Altro,11.433195562500854,45.834214845367306,0
11,Martedì,Mattino,MALO,SP 046 Pasubio,Rotatoria,Ghiacciato,Temporanea di cantiere,Nebbia,11.420222292204103,45.65141469741254,0
7,Venerdì,Notte,SCHIO,SP 046 Pasubio,Curva,Innevato,Assente,Neve,11.387158900296848,45.69493843402457,0
3,Giovedì,Mattino,LASTEBASSE,SP 350 Val d'Astico,Incrocio,Innevato,Verticale,Pioggia,11.272169196831097,45.915245696024776,0
9,Domenica,Mattino,VICENZA,SP 046 Pasubio,Galleria illuminata,Bagnato,Orizzontale,Nebbia,11.49452113095247,45.5708246147128,0
10,Lunedì,Sera,LASTEBASSE,SP 350 Val d'Astico,Rettilineo,Bagnato,Orizzontale,Pioggia,11.265195391135016,45.916801929888294,0
12,Lunedì,Notte,ARSIERO,SP 350 Val d'Astico,Intersezione con semaforo o vigile,Sdrucciolevole,Orizzontale,Neve,11.366242521005598,45.822965149230235,0
10,Giovedì,Notte,VALLI DEL PASUBIO,SP 046 Pasubio,Pendenza,Asciutto,Orizzontale,Pioggia,11.224259489741568,45.753568293134116,0
10,Lunedì,Mattino,VICENZA,SP 046 Pasubio,Pendenza,Innevato,Orizzontale,Sereno,11.498225133388278,45.55609734744847,0
10,Mercoledì,Mattino,ROANA,SP 349 Costo,Pendenza,Innevato,Verticale,Nebbia,11.472705983107561,45.88483830255736,0
12,Mercoledì,Notte,SANTORSO,SP 349 Costo,Dosso,Ghiacciato,Verticale,Neve,11.40424731787545,45.73668428280913,0
6,Mercoledì,Sera,VALLI DEL PASUBIO,SP 046 Pasubio,Pendenza,Bagnato,Orizzontale,Nebbia,11.191191614320942,45.758484837187865,0
10,Mercoledì,Mattino,ASIAGO,SP 349 Costo,Intersezione non segnalata,Innevato,Orizzontale,Altro,11.41274161857563,45.9493303357049,0
10,Mercoledì,Mattino,ROANA,SP 349 Costo,Dosso,Bagnato,Temporanea di cantiere,Neve,11.442798311045449,45.93466072055983,0
2,Venerdì,Sera,VICENZA,SP 046 Pasubio,Intersezione non segnalata,Bagnato,Assente,Vento forte,11.494392830489344,45.565161127625025,0
9,Mercoledì,Pomeriggio,THIENE,SP 349 var Costo Variante,Intersezione segnalata,Innevato,Orizzontale,Pioggia,11.451770711548878,45.70549136273353,0
5,Mercoledì,Pomeriggio,ASIAGO,SP 349 Costo,Intersezione non segnalata,Innevato,Assente,Neve,11.492307973751846,45.88093554728834,0
2,Venerdì,Pomeriggio,COGOLLO DEL CENGIO,SP 349 Costo,Pendenza,Sdrucciolevole,Temporanea di cantiere,Sereno,11.434638319873244,45.787204045040966,0
3,Giovedì,Mattino,COGOLLO DEL CENGIO,SP 349 Costo,Dosso,Asciutto,Assente,Sereno,11.433875866280745,45.79423925900369,0
2,Domenica,Notte,ASIAGO,SP 349 Costo,Intersezione con semaforo o vigile,Asciutto,Verticale,Vento forte,11.48988482206481,45.87857173272156,0
11,Venerdì,Notte,ASIAGO,SP 349 Costo,Incrocio,Innevato,Orizzontale,Sereno,11.49304198095867,45.88038014448043,0
10,Martedì,Mattino,VALLI DEL PASUBIO,SP 046 Pasubio,Intersezione con semaforo o vigile,Bagnato,Temporanea di cantiere,Neve,11.267081185791767,45.737139064455796,0
2,Martedì,Mattino,ZANE',SP 349 Costo,Rotatoria,Ghiacciato,Temporanea di cantiere,Neve,11.44514245114078,45.73168954030808,0
8,Domenica,Notte,VILLAVERLA,SP 349 Costo,Curva,Bagnato,Orizzontale,Nebbia,11.492406710584792,45.65969498577931,0
8,Giovedì,Notte,MALO,SP 046 Pasubio,Intersezione non segnalata,Sdrucciolevole,Orizzontale,Neve,11.423213457421427,45.64851364724233,0
7,Domenica,Notte,THIENE,SP 349 var Costo Variante,Incrocio,Innevato,Orizzontale,Nebbia,11.449690769060707,45.70657779509783,0
8,Mercoledì,Sera,SAN VITO DI LEGUZZANO,SP 046 Pasubio,Intersezione con semaforo o vigile,Sdrucciolevole,Verticale,Vento forte,11.398314678174986,45.6860608124753,0
11,Sabato,Mattino,COGOLLO DEL CENGIO,SP 350 Val d'Astico,Dosso,Sdrucciolevole,Temporanea di cantiere,Nebbia,11.38005865852868,45.80019550863991,0
7,Giovedì,Notte,CALTRANO,SP 349 Costo,Intersezione con semaforo o vigile,Sdrucciolevole,Assente,Nebbia,11.446724612343504,45.780236911611915,0
8,Mercoledì,Sera,LASTEBASSE,SP 350 Val d'Astico,Pendenza,Bagnato,Orizzontale,Sereno,11.305484696758468,45.907516358086205,0
7,Giovedì,Pomeriggio,VALDASTICO,SP 350 Val d'Astico,Rettilineo,Sdrucciolevole,Orizzontale,Pioggia,11.359512431733766,45.87670502319812,0
5,Lunedì,Mattino,SANTORSO,SP 349 Costo,Curva,Sdrucciolevole,Verticale,Altro,11.377325970174889,45.72989902343685,0
11,Lunedì,Mattino,MALO,SP 046 Pasubio,Pendenza,Asciutto,Verticale,Neve,11.399416539518235,45.68455208923348,0
5,Sabato,Mattino,VICENZA,SP 046 rac Pasubio Raccordo del Sole,Rotatoria,Sdrucciolevole,Orizzontale,Nebbia,11.507911800748252,45.53741714976297,0
10,Domenica,Mattino,TORREBELVICINO,SP 046 var Torrebelvicino,Intersezione non segnalata,Ghiacciato,Orizzontale,Nebbia,11.316454276619897,45.713500780715734,0
8,Mercoledì,Mattino,VALLI DEL PASUBIO,SP 046 Pasubio,Curva,Asciutto,Assente,Sereno,11.237779708218424,45.74566078157942,0
9,Giovedì,Pomeriggio,MARANO VICENTINO,SP 349 var Costo Variante,Galleria illuminata,Innevato,Temporanea di cantiere,Pioggia,11.432695803326277,45.71520494800506,0
10,Mercoledì,Pomeriggio,CALTRANO,SP 349 Costo,Galleria illuminata,Innevato,Assente,Sereno,11.450746281930272,45.77375895246339,0
9,Martedì,Mattino,ZANE',SP 349 Costo,Rotatoria,Ghiacciato,Verticale,Neve,11.444776382756006,45.73225727158568,0
7,Sabato,Pomeriggio,CARRE',SP 349 Costo,Intersezione con semaforo o vigile,Asciutto,Temporanea di cantiere,Neve,11.439014262954174,45.73952739235122,0
8,Giovedì,Pomeriggio,COGOLLO DEL CENGIO,SP 349 Costo,Pendenza,Sdrucciolevole,Assente,Sereno,11.431517643209395,45.79486927033715,0
7,Martedì,Notte,VICENZA,SP 046 Pasubio,Rettilineo,Innevato,Verticale,Vento forte,11.49978241597301,45.55372117521175,0
5,Martedì,Mattino,COGOLLO DEL CENGIO,SP 349 Costo,Intersezione segnalata,Asciutto,Verticale,Pioggia,11.436564431100042,45.788227825747285,0
9,Giovedì,Sera,ASIAGO,SP 349 Costo,Dosso,Ghiacciato,Orizzontale,Neve,11.495268870437528,45.87888529615385,0
9,Sabato,Mattino,VICENZA,SP 046 Pasubio,Rotatoria,Asciutto,Orizzontale,Sereno,11.494215025237809,45.566504151081126,0
10,Venerdì,Mattino,MALO,SP 046 Pasubio,Curva,Bagnato,Orizzontale,Vento forte,11.43476733201378,45.638037578923196,0
10,Martedì,Sera,VALLI DEL PASUBIO,SP 046 Pasubio,Curva,Ghiacciato,Orizzontale,Vento forte,11.260714205781165,45.740677109264695,0
5,Giovedì,Mattino,ASIAGO,SP 349 Costo,Pendenza,Innevato,Verticale,Vento forte,11.4904063457039,45.869303938017346,0
1,Venerdì,Sera,VICENZA,SP 046 Pasubio,Intersezione segnalata,Ghiacciato,Verticale,Sereno,11.507289824968792,45.54292581335324,0
5,Sabato,Notte,VILLAVERLA,SP 349 Costo,Intersezione non segnalata,Sdrucciolevole,Temporanea di cantiere,Altro,11.493306914116156,45.647007293455644,0
10,Giovedì,Pomeriggio,ARSIERO,SP 350 Val d'Astico,Rettilineo,Ghiacciato,Verticale,Pioggia,11.359433964050815,45.8067277641419,0
10,Lunedì,Notte,VILLAVERLA,SP 349 Costo,Dosso,Sdrucciolevole,Assente,Altro,11.493938407200574,45.65059070789703,0
7,Venerdì,Notte,VILLAVERLA,SP 349 Costo,Dosso,Sdrucciolevole,Assente,Vento forte,11.492144599163064,45.660316392744896,0
10,Domenica,Notte,ASIAGO,SP 349 Costo,Dosso,Ghiacciato,Verticale,Nebbia,11.422624575990465,45.95040653455952,0
1,Sabato,Mattino,COGOLLO DEL CENGIO,SP 349 Costo,Curva,Asciutto,Temporanea di cantiere,Nebbia,11.429614422260654,45.797997456695185,0
8,Venerdì,Sera,SANTORSO,SP 349 Costo,Dosso,Bagnato,Assente,Altro,11.396767129609366,45.73488469213696,0
9,Martedì,Pomeriggio,PIOVENE ROCCHETTE,SP 350 Val d'Astico,Curva,Asciutto,Verticale,Vento forte,11.436064634815292,45.762686965266155,0
7,Martedì,Mattino,CALTRANO,SP 349 Costo,Rotatoria,Ghiacciato,Assente,Vento forte,11.453114615506015,45.770928482523644,0
9,Giovedì,Notte,VALLI DEL PASUBIO,SP 046 Pasubio,Intersezione non segnalata,Ghiacciato,Verticale,Nebbia,11.25058552716157,45.743804648879916,0
6,Domenica,Mattino,COGOLLO DEL CENGIO,SP 350 Val d'Astico,Dosso,Asciutto,Verticale,Nebbia,11.426377489329903,45.77251739007273,0
7,Venerdì,Notte,COGOLLO DEL CENGIO,SP 349 Costo,Galleria illuminata,Asciutto,Orizzontale,Neve,11.426791880446245,45.81166409220949,0
8,Martedì,Mattino,COSTABISSARA,SP 046 Pasubio,Pendenza,Bagnato,Temporanea di cantiere,Sereno,11.499756136018178,45.57531251408398,0
10,Lunedì,Sera,SCHIO,SP 046 var Torrebelvicino,Incrocio,Bagnato,Temporanea di cantiere,Pioggia,11.33327056178387,45.71485683172229,0
