anno;rilevatore;mese;giorno_settimana;fascia_oraria;comune;nome_strada;tipo_luogo;indirizzo;lon;lat;kmt_etm;fondo;segnaletica;meteo;natura;des_circ_a;des_circ_b;veicolo_a;avaria_a;des_psico_a;veicolo_b;avaria_b;des_psico_b;veicolo_c;veicoli_oltre_a_b_c;pedoni_morti_feriti;tot_morti;tot_feriti
2018;Polizia Stradale;2;Domenica;Sera;COSTABISSARA;SP 046 Pasubio;Intersezione segnalata;SP046          -SP 349;11.4936495;45.6031554;7.0;Bagnato;Temporanea di cantiere;Pioggia;;;;;;;;;;;0;0;0;0
2021;Polizia Stradale;5;Domenica;Notte;COSTABISSARA;SP 046 Pasubio;Intersezione segnalata;SP046          -SP 349;11.4936495;45.6031554;7.0;Bagnato;Orizzontale;Sereno;;;;;;;;;;;0;0;0;0
2012;Polizia Municipale;8;Martedì;Notte;COSTABISSARA;SP 046 Pasubio;Intersezione segnalata;VIA PASUBIO VIA C. BATTISTI SP 046 PASUBIO;11.4937706;45.6029626;0.0;Bagnato;Assente;Pioggia;;;;;;;;;;;0;0;0;0
2014;Polizia Municipale;11;Lunedì;Pomeriggio;COSTABISSARA;SP 046 Pasubio;Intersezione segnalata;VIA PASUBIO VIA C. BATTISTI SP 046 PASUBIO;11.4937706;45.6029626;0.0;Ghiacciato;Temporanea di cantiere;Neve;;;;;;;;;;;0;0;0;0
2018;Polizia Stradale;8;Sabato;Notte;COSTABISSARA;SP 046 Pasubio;Rettilineo;SP046          -INTERSEZIONE CON VIA MONTE GRAPPA;11.4974624;45.5920366;6.0;Asciutto;Assente;Nebbia;;;;;;;;;;;0;0;0;0
2016;Polizia Stradale;6;Giovedì;Notte;COSTABISSARA;SP 046 Pasubio;Rettilineo;SP046          -INTERSEZIONE CON VIA MONTE GRAPPA;11.4974624;45.5920366;6.0;Bagnato;Assente;Altro;;;;;;;;;;;0;0;0;0
2016;Polizia Municipale;9;Venerdì;Pomeriggio;COSTABISSARA;SP 046 Pasubio;Rettilineo;VIA PASUBIO, 9 SP 046 PASUBIO;11.5010631;45.5881193;0.0;Bagnato;Assente;Pioggia;;;;;;;;;;;0;0;0;0
2021;Polizia Municipale;1;Mercoledì;Pomeriggio;COSTABISSARA;SP 046 Pasubio;Rettilineo;VIA PASUBIO, 9 SP 046 PASUBIO;11.5010631;45.5881193;0.0;Sdrucciolevole;Orizzontale;Neve;;;;;;;;;;;0;0;0;0
2016;Polizia Municipale;3;Mercoledì;Notte;COSTABISSARA;SP 046 Pasubio;Incrocio;VIA PASUBIO VIA VOLTA SP 046 PASUBIO;11.502708;45.586175;0.0;Sdrucciolevole;Orizzontale;Neve;;;;;;;;;;;0;0;0;0
2017;Polizia Municipale;11;Domenica;Mattino;COSTABISSARA;SP 046 Pasubio;Incrocio;VIA PASUBIO VIA VOLTA SP 046 PASUBIO;11.502708;45.586175;0.0;Asciutto;Temporanea di cantiere;Vento forte;;;;;;;;;;;0;0;0;0
2019;Polizia Municipale;8;Domenica;Mattino;VICENZA;SP 046 Pasubio;Rettilineo;PASUBIO  STR. DI COSTABISSARA SP 046 PASUBIO;11.506202;45.582012;0.0;Bagnato;Assente;Pioggia;;;;;;;;;;;0;0;0;0
2023;Polizia Municipale;2;Giovedì;Mattino;VICENZA;SP 046 Pasubio;Rettilineo;PASUBIO  STR. DI COSTABISSARA SP 046 PASUBIO;11.506202;45.582012;0.0;Ghiacciato;Assente;Neve;;;;;;;;;;;0;0;0;0
2013;Polizia Municipale;3;Mercoledì;Notte;VICENZA;SP 046 rac Pasubio Raccordo del Sole;Rettilineo;SOLE  RACCORDO NORD-EST SP 046 RAC PASUBIO RACCORDO DEL S;11.507947;45.538013;0.0;Ghiacciato;Assente;Neve;;;;;;;;;;;0;0;0;0
2014;Polizia Municipale;12;Giovedì;Mattino;VICENZA;SP 046 rac Pasubio Raccordo del Sole;Rettilineo;SOLE  RACCORDO NORD-EST SP 046 RAC PASUBIO RACCORDO DEL S;11.507947;45.538013;0.0;Sdrucciolevole;Verticale;Neve;;;;;;;;;;;0;0;0;0
2023;Polizia Municipale;3;Martedì;Mattino;VICENZA;SP 046 rac Pasubio Raccordo del Sole;Intersezione con semaforo o vigile;VIALE DEL SOLE  CATTANE SP 046 RAC PASUBIO RACCORDO DEL S;11.509232;45.547022;0.0;Asciutto;Temporanea di cantiere;Altro;;;;;;;;;;;0;0;0;0
2023;Polizia Municipale;12;Lunedì;Notte;VICENZA;SP 046 rac Pasubio Raccordo del Sole;Intersezione con semaforo o vigile;VIALE DEL SOLE  CATTANE SP 046 RAC PASUBIO RACCORDO DEL S;11.509232;45.547022;0.0;Ghiacciato;Assente;Neve;;;;;;;;;;;0;0;0;0
2016;Polizia Municipale;12;Lunedì;Pomeriggio;VICENZA;SP 046 rac Pasubio Raccordo del Sole;Intersezione con semaforo o vigile;SOLE CATTANE SP 046 RAC PASUBIO RACCORDO DEL SOLE;11.5092701;45.5470606;0.0;Innevato;Assente;Neve;;;;;;;;;;;0;0;0;0
2021;Polizia Municipale;9;Lunedì;Notte;VICENZA;SP 046 rac Pasubio Raccordo del Sole;Intersezione con semaforo o vigile;SOLE CATTANE SP 046 RAC PASUBIO RACCORDO DEL SOLE;11.5092701;45.5470606;0.0;Asciutto;Verticale;Altro;;;;;;;;;;;0;0;0;0
2014;Carabiniere;6;Domenica;Pomeriggio;VICENZA;SP 046 rac Pasubio Raccordo del Sole;Intersezione con semaforo o vigile;RACCORDO DEL SOLE INCROCIO BTG GRANATIERI DI SARDEGNA;11.518466;45.554739;0.0;Asciutto;Orizzontale;Sereno;;;;;;;;;;;0;0;0;0
2022;Carabiniere;12;Domenica;Sera;VICENZA;SP 046 rac Pasubio Raccordo del Sole;Intersezione con semaforo o vigile;RACCORDO DEL SOLE INCROCIO BTG GRANATIERI DI SARDEGNA;11.518466;45.554739;0.0;Sdrucciolevole;Temporanea di cantiere;Neve;;;;;;;;;;;0;0;0;0
2023;Polizia Municipale;1;Lunedì;Notte;VICENZA;SP 046 rac Pasubio Raccordo del Sole;Intersezione con semaforo o vigile;GRANATIERI DI SARDEGNA  SOLE SP 046 RAC PASUBIO RACCORDO ;11.51847;45.554709;0.0;Asciutto;Assente;Nebbia;;;;;;;;;;;0;0;0;0
2022;Polizia Municipale;10;Mercoledì;Sera;VICENZA;SP 046 rac Pasubio Raccordo del Sole;Intersezione con semaforo o vigile;GRANATIERI DI SARDEGNA  SOLE SP 046 RAC PASUBIO RACCORDO ;11.51847;45.554709;0.0;Asciutto;Assente;Sereno;;;;;;;;;;;0;0;0;0
2022;Polizia Municipale;9;Domenica;Notte;VICENZA;SP 046 rac Pasubio Raccordo del Sole;Intersezione con semaforo o vigile;SOLE GRANATIERI DI SARDEGNA SP 046 RAC PASUBIO RACCORDO D;11.51848;45.554719;0.0;Bagnato;Orizzontale;Nebbia;;;;;;;;;;;0;0;0;0
2014;Polizia Municipale;10;Lunedì;Mattino;VICENZA;SP 046 rac Pasubio Raccordo del Sole;Intersezione con semaforo o vigile;SOLE GRANATIERI DI SARDEGNA SP 046 RAC PASUBIO RACCORDO D;11.51848;45.554719;0.0;Sdrucciolevole;Temporanea di cantiere;Pioggia;;;;;;;;;;;0;0;0;0
2010;Polizia Municipale;12;Mercoledì;Notte;VICENZA;SP 046 rac Pasubio Raccordo del Sole;Intersezione con semaforo o vigile;VIALE DEL SOLE  GRANATIERI DI SARDEGNA SP 046 RAC PASUBIO;11.518501;45.554729;0.0;Asciutto;Orizzontale;Nebbia;;;;;;;;;;;0;0;0;0
2023;Polizia Municipale;9;Domenica;Mattino;VICENZA;SP 046 rac Pasubio Raccordo del Sole;Intersezione con semaforo o vigile;VIALE DEL SOLE  GRANATIERI DI SARDEGNA SP 046 RAC PASUBIO;11.518501;45.554729;0.0;Asciutto;Temporanea di cantiere;Sereno;;;;;;;;;;;0;0;0;0
2018;Polizia Municipale;10;Sabato;Notte;TORREBELVICINO;SP 046 var Torrebelvicino;Curva;RIMEMBRANZA, 15;11.303165;45.7189153;0.0;Sdrucciolevole;Verticale;Altro;;;;;;;;;;;0;0;0;0
2011;Polizia Municipale;9;Giovedì;Pomeriggio;TORREBELVICINO;SP 046 var Torrebelvicino;Curva;RIMEMBRANZA, 15;11.303165;45.7189153;0.0;Asciutto;Assente;Vento forte;;;;;;;;;;;0;0;0;0
2022;Polizia Municipale;7;Domenica;Mattino;TORREBELVICINO;SP 046 var Torrebelvicino;Intersezione segnalata;RIMEMBRANZA INCROCIO VIA DELL'INDUSTRIA;11.3062513;45.7181957;0.0;Asciutto;Verticale;Nebbia;;;;;;;;;;;0;0;0;0
2017;Polizia Municipale;6;Martedì;Mattino;TORREBELVICINO;SP 046 var Torrebelvicino;Intersezione segnalata;RIMEMBRANZA INCROCIO VIA DELL'INDUSTRIA;11.3062513;45.7181957;0.0;Bagnato;Verticale;Pioggia;;;;;;;;;;;0;0;0;0
2022;Polizia Municipale;3;Venerdì;Notte;TORREBELVICINO;SP 046 Pasubio;Rettilineo;VIA BREGANZE GIOVANNI, 90/92;11.315144;45.7191404;0.0;Innevato;Temporanea di cantiere;Neve;;;;;;;;;;;0;0;0;0
2021;Polizia Municipale;2;Domenica;Sera;TORREBELVICINO;SP 046 Pasubio;Rettilineo;VIA BREGANZE GIOVANNI, 90/92;11.315144;45.7191404;0.0;Innevato;Assente;Neve;;;;;;;;;;;0;0;0;0
2023;Carabiniere;1;Mercoledì;Sera;ARSIERO;SP 350 Val d'Astico;Rettilineo;VIA DEI LONGHI, 70;11.3611937;45.8100465;46.05;Asciutto;Assente;Vento forte;;;;;;;;;;;0;0;0;0
2016;Carabiniere;10;Venerdì;Sera;ARSIERO;SP 350 Val d'Astico;Rettilineo;VIA DEI LONGHI, 70;11.3611937;45.8100465;46.05;Sdrucciolevole;Verticale;Altro;;;;;;;;;;;0;0;0;0
2011;Polizia Municipale;8;Sabato;Pomeriggio;ARSIERO;SP 350 Val d'Astico;Rettilineo;VIA DEI LONGHI, 2/4;11.3617351;45.8043212;0.0;Asciutto;Orizzontale;Altro;;;;;;;;;;;0;0;0;0
2014;Polizia Municipale;3;Venerdì;Pomeriggio;ARSIERO;SP 350 Val d'Astico;Rettilineo;VIA DEI LONGHI, 2/4;11.3617351;45.8043212;0.0;Asciutto;Temporanea di cantiere;Vento forte;;;;;;;;;;;0;0;0;0
2018;Carabiniere;10;Sabato;Mattino;ARSIERO;SP 350 Val d'Astico;Rettilineo;SP350 KM 48 VIA GRUMOLO, 10;11.3744982;45.8029973;48.0;Sdrucciolevole;Assente;Altro;;;;;;;;;;;0;0;0;0
2011;Carabiniere;6;Martedì;Pomeriggio;ARSIERO;SP 350 Val d'Astico;Rettilineo;SP350 KM 48 VIA GRUMOLO, 10;11.3744982;45.8029973;48.0;Bagnato;Verticale;Nebbia;;;;;;;;;;;0;0;0;0
2013;Polizia Municipale;7;Mercoledì;Notte;SANTORSO;SP 350 Val d'Astico;Incrocio;VIA IV NOVEMBRE INCROCIO VIA DEI CAMPILONGHI;11.3770026;45.7298164;0.0;Bagnato;Verticale;Pioggia;;;;;;;;;;;0;0;0;0
2023;Polizia Municipale;10;Domenica;Pomeriggio;SANTORSO;SP 350 Val d'Astico;Incrocio;VIA IV NOVEMBRE INCROCIO VIA DEI CAMPILONGHI;11.3770026;45.7298164;0.0;Bagnato;Assente;Vento forte;;;;;;;;;;;0;0;0;0
2012;Polizia Municipale;5;Mercoledì;Pomeriggio;SANTORSO;SP 350 Val d'Astico;Incrocio;VIA 4 NOVEMBRE INCROCIO VIA DELLA RAVIZZA;11.3821524;45.7311307;0.0;Bagnato;Orizzontale;Nebbia;;;;;;;;;;;0;0;0;0
2022;Polizia Municipale;2;Lunedì;Sera;SANTORSO;SP 350 Val d'Astico;Incrocio;VIA 4 NOVEMBRE INCROCIO VIA DELLA RAVIZZA;11.3821524;45.7311307;0.0;Sdrucciolevole;Assente;Pioggia;;;;;;;;;;;0;0;0;0
2012;Polizia Municipale;7;Venerdì;Notte;SANTORSO;SP 350 Val d'Astico;Incrocio;EUROPA INCROCIO VIA SALZENA;11.394732;45.7343659;0.0;Asciutto;Temporanea di cantiere;Sereno;;;;;;;;;;;0;0;0;0
2012;Polizia Municipale;1;Mercoledì;Pomeriggio;SANTORSO;SP 350 Val d'Astico;Incrocio;EUROPA INCROCIO VIA SALZENA;11.394732;45.7343659;0.0;Asciutto;Assente;Sereno;;;;;;;;;;;0;0;0;0
2019;Polizia Municipale;7;Giovedì;Mattino;SANTORSO;SP 350 Val d'Astico;Intersezione segnalata;VIA EUROPA INCROCIO VIA DEL PRANON;11.3947374;45.7343771;0.0;Bagnato;Verticale;Nebbia;;;;;;;;;;;0;0;0;0
2020;Polizia Municipale;7;Lunedì;Pomeriggio;SANTORSO;SP 350 Val d'Astico;Intersezione segnalata;VIA EUROPA INCROCIO VIA DEL PRANON;11.3947374;45.7343771;0.0;Sdrucciolevole;Verticale;Pioggia;;;;;;;;;;;0;0;0;0
2012;Carabiniere;1;Lunedì;Notte;MALO;SP 046 Pasubio;Rettilineo;VIA SCHIO;11.4029288;45.6769515;0.0;Innevato;Assente;Neve;;;;;;;;;;;0;0;0;0
2023;Carabiniere;7;Sabato;Mattino;MALO;SP 046 Pasubio;Rettilineo;VIA SCHIO;11.4029288;45.6769515;0.0;Bagnato;Assente;Pioggia;;;;;;;;;;;0;0;0;0
2017;Polizia Municipale;12;Lunedì;Notte;MALO;SP 046 Pasubio;Rettilineo;VIA L.DA VINCI, 23 S.P. N. 46 DEL PASUBIO SP 046 PASUBIO;11.4190765;45.6525864;15.0;Asciutto;Assente;Sereno;;;;;;;;;;;0;0;0;0
2015;Polizia Municipale;1;Lunedì;Sera;MALO;SP 046 Pasubio;Rettilineo;VIA L.DA VINCI, 23 S.P. N. 46 DEL PASUBIO SP 046 PASUBIO;11.4190765;45.6525864;15.0;Asciutto;Assente;Altro;;;;;;;;;;;0;0;0;0
2022;Polizia Municipale;10;Mercoledì;Pomeriggio;PIOVENE ROCCHETTE;SP 350 Val d'Astico;Rettilineo;VIA MONTE PASUBIO, 64;11.423692;45.7469627;0.0;Sdrucciolevole;Orizzontale;Altro;;;;;;;;;;;0;0;0;0
2018;Polizia Municipale;10;Martedì;Sera;PIOVENE ROCCHETTE;SP 350 Val d'Astico;Rettilineo;VIA MONTE PASUBIO, 64;11.423692;45.7469627;0.0;Bagnato;Verticale;Vento forte;;;;;;;;;;;0;0;0;0
2017;Polizia Municipale;10;Sabato;Sera;PIOVENE ROCCHETTE;SP 350 Val d'Astico;Rettilineo;VIA MONTE PASUBIO, 44/A;11.4238081;45.7470689;0.0;Asciutto;Verticale;Vento forte;;;;;;;;;;;0;0;0;0
2020;Polizia Municipale;6;Sabato;Sera;PIOVENE ROCCHETTE;SP 350 Val d'Astico;Rettilineo;VIA MONTE PASUBIO, 44/A;11.4238081;45.7470689;0.0;Sdrucciolevole;Temporanea di cantiere;Altro;;;;;;;;;;;0;0;0;0
2011;Polizia Municipale;1;Venerdì;Mattino;SCHIO;SP 349 var Costo Variante;Intersezione con semaforo o vigile;VIA GARZIERE INCROCIO VIA DUE CAMINI;11.4253736;45.7198212;0.0;Bagnato;Assente;Pioggia;;;;;;;;;;;0;0;0;0
2014;Polizia Municipale;3;Sabato;Sera;SCHIO;SP 349 var Costo Variante;Intersezione con semaforo o vigile;VIA GARZIERE INCROCIO VIA DUE CAMINI;11.4253736;45.7198212;0.0;Bagnato;Orizzontale;Nebbia;;;;;;;;;;;0;0;0;0
2015;Polizia Municipale;6;Mercoledì;Sera;PIOVENE ROCCHETTE;SP 349 Costo;Rettilineo;VIA THIENE, 34/36;11.4307273;45.7494283;0.0;Asciutto;Assente;Vento forte;;;;;;;;;;;0;0;0;0
2019;Polizia Municipale;12;Lunedì;Pomeriggio;PIOVENE ROCCHETTE;SP 349 Costo;Rettilineo;VIA THIENE, 34/36;11.4307273;45.7494283;0.0;Sdrucciolevole;Orizzontale;Pioggia;;;;;;;;;;;0;0;0;0
2017;Carabiniere;6;Lunedì;Pomeriggio;MALO;SP 046 Pasubio;Rettilineo;S.P 46 VIA VICENZA;11.4331627;45.6390075;0.0;Asciutto;Orizzontale;Vento forte;;;;;;;;;;;0;0;0;0
2017;Carabiniere;3;Venerdì;Pomeriggio;MALO;SP 046 Pasubio;Rettilineo;S.P 46 VIA VICENZA;11.4331627;45.6390075;0.0;Innevato;Temporanea di cantiere;Neve;;;;;;;;;;;0;0;0;0
2020;Carabiniere;3;Domenica;Notte;MALO;SP 046 Pasubio;Rettilineo;VIA VICENZA, 150;11.4347448;45.638099;174.0;Asciutto;Temporanea di cantiere;Sereno;;;;;;;;;;;0;0;0;0
2022;Carabiniere;11;Domenica;Pomeriggio;MALO;SP 046 Pasubio;Rettilineo;VIA VICENZA, 150;11.4347448;45.638099;174.0;Bagnato;Temporanea di cantiere;Vento forte;;;;;;;;;;;0;0;0;0
2020;Polizia Municipale;2;Martedì;Notte;CARRE';SP 349 Costo;Rotatoria;VIA BIANCHE VIA VAL D'ASSA;11.4400291;45.7381775;0.0;Innevato;Temporanea di cantiere;Neve;;;;;;;;;;;0;0;0;0
2023;Polizia Municipale;2;Lunedì;Notte;CARRE';SP 349 Costo;Rotatoria;VIA BIANCHE VIA VAL D'ASSA;11.4400291;45.7381775;0.0;Sdrucciolevole;Verticale;Altro;;;;;;;;;;;0;0;0;0
2020;Polizia Municipale;6;Lunedì;Pomeriggio;CARRE';SP 349 Costo;Rotatoria;VIA VAL D'ASSA VIA BIANCHE;11.440115;45.7382374;0.0;Bagnato;Verticale;Nebbia;;;;;;;;;;;0;0;0;0
2020;Polizia Municipale;4;Martedì;Notte;CARRE';SP 349 Costo;Rotatoria;VIA VAL D'ASSA VIA BIANCHE;11.440115;45.7382374;0.0;Asciutto;Assente;Altro;;;;;;;;;;;0;0;0;0
2012;Polizia Municipale;11;Domenica;Sera;PIOVENE ROCCHETTE;SP 349 Costo;Incrocio;VIA ANTONIO FOGAZZARO INCROCIO QUARTIERE MONTE MAGGIO;11.4418718;45.7594376;0.0;Sdrucciolevole;Assente;Neve;;;;;;;;;;;0;0;0;0
2019;Polizia Municipale;1;Venerdì;Sera;PIOVENE ROCCHETTE;SP 349 Costo;Incrocio;VIA ANTONIO FOGAZZARO INCROCIO QUARTIERE MONTE MAGGIO;11.4418718;45.7594376;0.0;Sdrucciolevole;Verticale;Neve;;;;;;;;;;;0;0;0;0
