segment_id,nome_strada,comune,km_idx,lunghezza_m,n_attraversamenti,n_semafori,n_stop,n_incroci,n_autovelox,n_lampioni,maxspeed_med,n_incidenti,indice_grezzo,indice
59,SP 046 Pasubio,VICENZA,58,117,0,0,0,0,0,0,90,0,0.0,0.0
60,SP 046 Pasubio,VICENZA,59,548,0,0,0,0,0,0,70,1,0.391,0.8
61,SP 046 Pasubio,VICENZA,60,202,0,0,0,0,0,6,40,0,0.0,0.0
62,SP 046 Pasubio,VICENZA,61,529,0,0,0,0,0,0,90,1,1.215,2.6
63,SP 046 rac Pasubio Raccordo del Sole,VICENZA,0,407,0,0,0,0,0,6,50,0,0.0,0.0
64,SP 046 rac Pasubio Raccordo del Sole,VICENZA,1,331,0,0,0,0,0,6,90,2,2.59,5.6
65,SP 046 rac Pasubio Raccordo del Sole,VICENZA,2,559,0,0,0,0,0,11,50,0,0.0,0.0
66,SP 046 rac Pasubio Raccordo del Sole,VICENZA,3,275,0,0,0,0,0,2,90,1,3.896,8.4
67,SP 046 rac Pasubio Raccordo del Sole,VICENZA,4,304,0,0,0,0,0,5,50,0,0.0,0.0
68,SP 046 rac Pasubio Raccordo del Sole,VICENZA,5,725,1,0,0,0,0,12,50,4,1.773,3.8
69,SP 046 var Torrebelvicino,TORREBELVICINO,0,1000,2,2,1,0,0,0,50,9,3.214,6.9
70,SP 046 var Torrebelvicino,TORREBELVICINO,1,1000,1,2,0,0,0,0,38,2,0.429,0.9
71,SP 046 var Torrebelvicino,TORREBELVICINO,2,559,0,0,0,0,0,0,70,2,1.15,2.5
72,SP 349 Costo,SCHIO,0,107,1,0,0,0,0,0,50,0,0.0,0.0
73,SP 349 Costo,SANTORSO,1,1000,6,4,0,0,0,0,70,18,6.857,14.7
74,SP 349 Costo,SANTORSO,2,1000,6,1,0,0,0,0,50,14,4.5,9.7
75,SP 349 Costo,SANTORSO,3,924,4,0,0,0,0,0,70,10,3.015,6.5
76,SP 349 Costo,ASIAGO,4,1000,5,0,4,0,0,0,50,3,0.643,1.4
77,SP 349 Costo,ASIAGO,5,1000,0,0,0,0,0,0,,0,0.0,0.0
78,SP 349 Costo,ROANA,6,1000,0,0,1,0,0,0,,1,0.643,1.4
79,SP 349 Costo,ROANA,7,1000,0,0,0,0,0,0,,0,0.0,0.0
80,SP 349 Costo,ROANA,8,1000,0,0,0,0,0,0,,1,0.214,0.5
81,SP 349 Costo,ROANA,9,1000,0,0,0,0,0,0,,0,0.0,0.0
82,SP 349 Costo,ROANA,10,1000,0,0,1,0,0,0,,0,0.0,0.0
83,SP 349 Costo,ROANA,11,1000,0,0,0,0,0,0,,0,0.0,0.0
84,SP 349 Costo,ROANA,12,1000,0,0,0,0,0,0,,0,0.0,0.0
85,SP 349 Costo,ROANA,13,1000,0,0,0,0,0,0,,0,0.0,0.0
86,SP 349 Costo,ROANA,14,1000,0,0,0,0,0,0,,0,0.0,0.0
87,SP 349 Costo,ROANA,15,1000,0,0,0,0,0,0,,0,0.0,0.0
88,SP 349 Costo,ROANA,16,1000,0,0,0,0,0,0,,0,0.0,0.0
89,SP 349 Costo,ROANA,17,1000,0,0,0,0,0,0,,0,0.0,0.0
90,SP 349 Costo,ASIAGO,18,1000,0,0,0,0,0,0,,0,0.0,0.0
91,SP 349 Costo,ASIAGO,19,1000,0,0,0,0,0,0,,1,0.429,0.9
92,SP 349 Costo,ROTZO,20,869,0,0,0,0,0,0,,1,0.493,1.1
93,SP 349 Costo,PIOVENE ROCCHETTE,21,1000,12,5,2,0,3,0,50,15,5.357,11.5
94,SP 349 Costo,SANTORSO,22,1000,4,0,0,0,1,0,,3,1.286,2.8
95,SP 349 Costo,SANTORSO,23,475,1,0,1,0,0,0,,3,2.256,4.8
96,SP 349 Costo,PIOVENE ROCCHETTE,24,161,9,0,3,0,0,0,50,6,10.648,22.9
97,SP 349 Costo,PIOVENE ROCCHETTE,25,1000,7,0,0,0,0,0,50,14,4.286,9.2
98,SP 349 Costo,CARRE',26,631,2,0,0,0,0,16,130,6,3.056,6.6
99,SP 349 Costo,ROANA,27,1000,6,0,3,0,0,2,50,2,0.429,0.9
100,SP 349 Costo,ROANA,28,1000,0,0,0,0,0,0,70,0,0.0,0.0
101,SP 349 Costo,ROANA,29,1000,0,0,0,0,0,0,45,0,0.0,0.0
102,SP 349 Costo,COGOLLO DEL CENGIO,30,1000,0,0,0,0,2,0,70,2,0.429,0.9
103,SP 349 Costo,COGOLLO DEL CENGIO,31,1000,0,0,0,0,0,0,70,1,0.214,0.5
104,SP 349 Costo,COGOLLO DEL CENGIO,32,1000,0,0,0,0,0,0,70,2,2.0,4.3
105,SP 349 Costo,COGOLLO DEL CENGIO,33,1000,0,0,0,0,0,0,70,1,0.429,0.9
106,SP 349 Costo,COGOLLO DEL CENGIO,34,1000,0,0,0,0,0,0,70,0,0.0,0.0
107,SP 349 Costo,COGOLLO DEL CENGIO,35,1000,0,0,0,0,2,0,70,1,0.214,0.5
108,SP 349 Costo,COGOLLO DEL CENGIO,36,1000,0,0,0,0,2,0,70,1,0.714,1.5
109,SP 349 Costo,COGOLLO DEL CENGIO,37,1000,0,0,0,0,0,0,70,1,0.429,0.9
110,SP 349 Costo,COGOLLO DEL CENGIO,38,1000,0,0,0,0,0,0,70,0,0.0,0.0
111,SP 349 Costo,COGOLLO DEL CENGIO,39,1000,0,0,0,0,2,0,70,3,1.5,3.2
112,SP 349 Costo,COGOLLO DEL CENGIO,40,1000,0,0,0,0,2,0,70,1,1.286,2.8
113,SP 349 Costo,COGOLLO DEL CENGIO,41,1000,0,0,0,0,0,0,70,2,0.429,0.9
114,SP 349 Costo,CALTRANO,42,410,0,0,2,0,0,0,70,2,1.045,2.2
115,SP 349 Costo,PIOVENE ROCCHETTE,43,117,4,0,1,0,0,0,50,3,5.495,11.8
116,SP 349 Costo,ROANA,44,1000,4,0,0,0,0,0,50,0,0.0,0.0
117,SP 349 Costo,ROANA,45,1000,0,0,0,0,0,0,,0,0.0,0.0
118,SP 349 Costo,ROANA,46,1000,0,0,0,0,0,0,,0,0.0,0.0
119,SP 349 Costo,ROANA,47,1000,0,0,0,0,0,0,,0,0.0,0.0
120,SP 349 Costo,ROANA,48,1000,0,0,2,0,0,0,,3,0.857,1.8
121,SP 349 Costo,ROANA,49,452,4,0,2,0,0,0,50,2,0.948,2.0
122,SP 349 Costo,PIOVENE ROCCHETTE,50,751,12,0,0,0,0,0,50,11,4.28,9.2
123,SP 349 Costo,PIOVENE ROCCHETTE,51,1000,10,0,4,0,2,10,50,12,3.929,8.4
124,SP 349 Costo,CHIUPPANO,52,830,1,0,2,0,0,0,50,4,1.291,2.8
125,SP 349 Costo,ZANE',53,1000,2,1,0,0,0,11,,9,2.143,4.6
126,SP 349 Costo,ZANE',54,1000,4,6,0,1,0,0,50,2,0.643,1.4
127,SP 349 Costo,ZANE',55,467,12,10,2,1,0,0,50,7,4.589,9.9
128,SP 349 Costo,CALTRANO,56,995,3,0,2,0,0,0,50,5,2.369,5.1
129,SP 349 Costo,CHIUPPANO,57,155,1,0,1,0,0,0,,2,4.147,8.9
130,SP 349 Costo,ZANE',58,494,10,7,4,0,0,0,,11,5.639,12.1
131,SP 349 Costo,ZANE',59,199,6,0,1,0,0,0,,7,18.306,39.3
132,SP 349 Costo,ROANA,60,925,17,0,5,0,0,0,50,2,0.695,1.5
133,SP 349 Costo,ASIAGO,61,1000,4,0,6,0,1,0,50,6,2.143,4.6
134,SP 349 Costo,ASIAGO,62,1000,0,0,0,0,0,0,70,2,1.571,3.4
135,SP 349 Costo,ROANA,63,295,2,0,1,0,0,0,50,0,0.0,0.0
136,SP 349 Costo,THIENE,64,1000,3,0,0,0,1,0,70,12,3.643,7.8
137,SP 349 Costo,THIENE,65,1000,9,0,3,0,2,0,130,24,8.143,17.5
138,SP 349 Costo,THIENE,66,459,0,0,0,0,0,193,90,1,0.467,1.0
139,SP 349 Costo,VILLAVERLA,67,1000,11,0,4,0,2,0,50,21,6.214,13.3
140,SP 349 Costo,VILLAVERLA,68,1000,16,0,2,0,0,0,50,21,5.786,12.4
141,SP 349 Costo,VILLAVERLA,69,1000,3,0,2,0,0,0,50,6,2.143,4.6
142,SP 349 Costo,CALDOGNO,70,1000,0,0,0,0,0,0,90,6,1.5,3.2
143,SP 349 Costo,CALDOGNO,71,1000,0,0,0,0,0,3,70,9,3.214,6.9
144,SP 349 Costo,CALDOGNO,72,1000,1,0,0,0,0,0,70,5,2.143,4.6
145,SP 349 var Costo Variante,SCHIO,0,1000,0,0,0,0,0,0,40,7,1.5,3.2
146,SP 349 var Costo Variante,ZANE',1,1000,0,0,0,1,0,0,40,3,1.286,2.8
147,SP 349 var Costo Variante,ZANE',2,1000,0,0,0,0,0,0,90,6,1.929,4.1
148,SP 349 var Costo Variante,THIENE,3,1000,0,0,0,0,0,0,50,7,1.714,3.7
149,SP 349 var Costo Variante,THIENE,4,201,2,0,0,0,0,0,50,1,1.066,2.3
150,SP 349 var Costo Variante,THIENE,5,228,2,0,0,0,0,0,50,7,9.398,20.2
151,SP 350 Val d'Astico,LASTEBASSE,0,1000,0,0,0,0,0,0,,0,0.0,0.0
152,SP 350 Val d'Astico,LASTEBASSE,1,1000,2,0,2,0,0,0,,0,0.0,0.0
153,SP 350 Val d'Astico,LASTEBASSE,2,1000,0,0,0,0,0,0,,0,0.0,0.0
154,SP 350 Val d'Astico,LASTEBASSE,3,1000,0,0,0,0,0,0,,1,0.214,0.5
155,SP 350 Val d'Astico,PEDEMONTE,4,1000,0,0,0,0,0,0,,0,0.0,0.0
156,SP 350 Val d'Astico,PEDEMONTE,5,1000,1,0,0,0,0,0,,0,0.0,0.0
157,SP 350 Val d'Astico,LASTEBASSE,6,1000,0,0,0,0,0,0,,0,0.0,0.0
158,SP 350 Val d'Astico,PEDEMONTE,7,1000,0,0,0,0,0,0,,0,0.0,0.0
159,SP 350 Val d'Astico,VALDASTICO,8,1000,0,0,0,0,0,0,,0,0.0,0.0
160,SP 350 Val d'Astico,VALDASTICO,9,1000,1,0,1,0,0,0,,1,0.214,0.5
161,SP 350 Val d'Astico,VALDASTICO,10,1000,0,0,0,0,0,0,,3,0.643,1.4
162,SP 350 Val d'Astico,VALDASTICO,11,1000,1,0,1,0,0,0,,0,0.0,0.0
163,SP 350 Val d'Astico,VALDASTICO,12,1000,2,0,1,0,0,0,,0,0.0,0.0
164,SP 350 Val d'Astico,VALDASTICO,13,1000,0,0,0,0,0,0,,0,0.0,0.0
165,SP 350 Val d'Astico,VALDASTICO,14,1000,2,0,0,0,0,0,,0,0.0,0.0
166,SP 350 Val d'Astico,ARSIERO,15,1000,1,0,0,0,0,0,,1,1.071,2.3
167,SP 350 Val d'Astico,ARSIERO,16,1000,1,0,0,0,0,0,,3,1.071,2.3
168,SP 350 Val d'Astico,ARSIERO,17,1000,0,0,0,0,0,0,,0,0.0,0.0
169,SP 350 Val d'Astico,ARSIERO,18,1000,10,2,8,0,0,0,,5,3.357,7.2
170,SP 350 Val d'Astico,ARSIERO,19,1000,0,0,5,0,0,0,,4,2.0,4.3
171,SP 350 Val d'Astico,COGOLLO DEL CENGIO,20,1000,1,0,3,0,0,0,,7,2.786,6.0
172,SP 350 Val d'Astico,COGOLLO DEL CENGIO,21,1000,0,0,1,0,0,0,90,2,0.857,1.8
173,SP 350 Val d'Astico,COGOLLO DEL CENGIO,22,1000,0,0,1,0,0,0,90,0,0.0,0.0
174,SP 350 Val d'Astico,COGOLLO DEL CENGIO,23,1000,3,0,0,0,0,0,70,3,1.286,2.8
175,SP 350 Val d'Astico,COGOLLO DEL CENGIO,24,1000,6,1,6,0,0,0,50,8,2.357,5.1
176,SP 350 Val d'Astico,COGOLLO DEL CENGIO,25,1000,0,0,0,0,0,0,20,3,1.071,2.3
177,SP 350 Val d'Astico,PIOVENE ROCCHETTE,26,1000,3,0,3,0,0,0,50,5,2.429,5.2
178,SP 350 Val d'Astico,PIOVENE ROCCHETTE,27,1000,16,10,8,0,0,0,50,15,4.286,9.2
179,SP 350 Val d'Astico,PIOVENE ROCCHETTE,28,384,10,0,4,0,1,0,50,8,7.812,16.8
